"","track.name","track.id","danceability","energy","speechiness","liveness","valence"
"1","1997 DIANA","55jQMevNp7aWtiW5LPlPoa",0.805,0.719,0.324,0.327,0.906
"2","33","0Vg95EjesJQ1xr4BtpdEzq",0.775,0.696,0.0429,0.11,0.55
"3","Alligator","3Ij4WCC61zYhrLnQwYQjJw",0.775,0.704,0.0804,0.101,0.567
"4","Beautiful, Dirty, Rich","3qrQtMmkuV79LMGfsGDHRf",0.782,0.906,0.152,0.293,0.697
"5","Boss Bitch","78qd8dvwea0Gosb6Fe6j3k",0.707,0.955,0.222,0.202,0.575
"6","Clean up Anthem","5YHWZBmE0txhK8GfkkAZDx",0.846,0.725,0.154,0.0892,0.616
"7","Comme Des Garçons (Like The Boys)","43bYs8QkPdCdy5esfnmU1T",0.724,0.715,0.116,0.441,0.645
"8","Death Note","34ub1RBJiuquy1eFo7xsBL",0.763,0.709,0.337,0.0798,0.537
"9","The Fame","25pWYL5848CIMh3OfnDroM",0.816,0.694,0.0504,0.035,0.966
"10","Fluids","4JN9HdU86M4rSWMdel5onl",0.829,0.798,0.162,0.161,0.932
"11","Get Naked (I Got a Plan)","0PGxTaUcMggyJxTyLy0uOx",0.734,0.856,0.056,0.0442,0.67
"12","Get Stüpid","4PMLEEYw4mblYsPlDSHKyu",0.843,0.797,0.0419,0.0822,0.613
"13","Hot As You Want - Live with Solomon Grey","4Z99R7iIHoZw0UguzD5qqR",0.45,0.542,0.103,0.132,0.139
"14","I Like It","58q2HKrzhC3ozto2nDdN4z",0.816,0.726,0.129,0.372,0.65
"15","INDUSTRY BABY (feat. Jack Harlow)","27NovPIUIRrOZoCHxABJwK",0.736,0.704,0.0615,0.0501,0.894
"16","Jewels N' Drugs","2MqhCzdw8Py25ZHY2Di3Sr",0.737,0.893,0.0687,0.245,0.534
"17","Just Dance","2x7MyWybabEz6Y6wvHuwGE",0.822,0.739,0.0311,0.181,0.745
"18","LoveStoned / I Think She Knows (Interlude)","5iyE2d4U3Vc5cqY9mPTlpy",0.859,0.681,0.0549,0.213,0.852
"19","My Band","4XHQyvbrBsQaaBUW1VvmsL",0.851,0.849,0.0828,0.116,0.844
