"","track.name","track.id","danceability","energy","speechiness","liveness","valence"
"1","Carnaval Del Barrio","6XxqRhAaruObqx8ComY0H0",0.583,0.575,0.353,0.314,0.615
"2","Can I Have This Dance","6YXG34IWbilypPwjBTOrUC",0.555,0.619,0.0296,0.265,0.426
"3","God is a woman","5OCJzvD7sykQEKHH7qAC3C",0.602,0.658,0.0558,0.237,0.268
"4","In the Heights","4dS1QQw8askb1KSDLCKuvK",0.622,0.468,0.435,0.337,0.692
"5","Bad Reputation","4IqpjoA1UfQ7FiJfMckYra",0.557,0.687,0.079,0.244,0.312
"6","Fingers Crossed","5S9Zs5g9lTWnLIboN1pdlU",0.603,0.473,0.0511,0.31,0.446
"7","All Night","7oAuqs6akGnPU3Tb00ZmyM",0.574,0.573,0.085,0.0933,0.626
"8","God Is A Freak","4cqj8FIWkyR5A2XBtcqRMU",0.569,0.405,0.0606,0.133,0.648
"9","Summer Montage / Madeline","4S3DXtdTdgOIezKgu8DR0M",0.596,0.502,0.0277,0.264,0.653
"10","It Won't Be Long Now","6gTRjSKPok0vqeP7yEqmYU",0.588,0.389,0.118,0.149,0.46
"11","Opening Up - Finale","0D0hntFnPGhcqlexHeudeV",0.6,0.47,0.0338,0.273,0.652
"12","Piragua - Reprise","5P6p5awCY4sMgcOqLUQcJZ",0.593,0.504,0.104,0.152,0.647
"13","Paciencia Y Fe","5kRGhvnoCWgw7cNgwSSQI2",0.544,0.407,0.117,0.176,0.574
"14","Fallin’ (Adrenaline)","5GhJIMWAw0uMLgkdbt6uMz",0.606,0.9,0.119,0.075,0.233
"15","Seventeen","6UiQFxMYJgILcLTjLrO0OQ",0.612,0.743,0.0442,0.319,0.347
"16","Kicks","4AeL5jqJOg30DBEEqTmdTD",0.555,0.884,0.071,0.0537,0.367
"17","Hundreds of Stories","1uTEsW6n80njACdk9HA8oA",0.607,0.407,0.0928,0.0741,0.558
"18","Solo","0cQ5y2ycYOR7KrMG752t8Q",0.567,0.644,0.0488,0.463,0.34
"19","(Fuck A) Silver Lining","3BDxv4ORzOpXAsa4lWVl4i",0.577,0.939,0.108,0.24,0.714
"20","(Fuck A) Silver Lining","7g58rb2dFDCvcmLBwpHR9F",0.577,0.939,0.108,0.24,0.714
"21","Take a Break","2qFIJT5hjqaNFA1GKwl9me",0.552,0.371,0.227,0.18,0.587
"22","You","1U0nWcWMR1gyHEHBvx5YpW",0.575,0.66,0.211,0.313,0.714
"23","Two Black Cadillacs","5qxA5VdQTVSGMPbbIlQoeZ",0.554,0.847,0.0587,0.0746,0.414
"24","Raised On It","3BuPop8SzLG2Q88TJcFAjp",0.59,0.94,0.0409,0.379,0.732
"25","Winter Wonderland / Don't Worry Be Happy (feat. Tori Kelly)","2kPpxNSgXRvu5yqkRLKJIu",0.61,0.397,0.0504,0.0833,0.718
"26","Herman’s Habit","4f6PUDRYJI51UrZy0jDAxD",0.588,0.593,0.052,0.214,0.668
"27","better off without me","1Ip5p31SowqjJLo2ss1afJ",0.62,0.468,0.04,0.322,0.646
"28","Blown Away","0LbaxqqbUVE1kANizaaL0F",0.522,0.816,0.045,0.0245,0.384
"29","Too Good At Goodbyes","7oAraczbemGSNWqnbkU87R",0.515,0.378,0.065,0.172,0.536
"30","Josh","6bVcqoYbuS9h7O5XuxAXcf",0.618,0.449,0.0868,0.168,0.634
