"","track.name","track.id","danceability","energy","speechiness","liveness","valence"
"1","Queen","17FyWGvqby379Q92sn23jW",0.877,0.688,0.11,0.0872,0.921
"2","the light is coming (feat. Nicki Minaj)","0sdbFOyfgAhAhWq8DpzkaW",0.877,0.547,0.18,0.028,0.687
"3","Wrong Bitch - Extended Mix","1VBsMiBqlCOD85hh8EDLht",0.876,0.677,0.287,0.124,0.525
"4","My Boyfriend's Back","2BrEFY5Pip0ZrH9XehB0JA",0.807,0.849,0.33,0.252,0.928
"5","Mutual","0rrfXLr1p1yxsUy7LrKoYT",0.917,0.474,0.156,0.133,0.801
"6","Keep Me Coming","6kcjWJyJP8kuboC4VHadE3",0.798,0.666,0.117,0.108,0.832
"7","Big Girls Don't Cry","6qEpugUrdNrhhPKedT6Kqz",0.9,0.87,0.0956,0.0816,0.901
"8","Fantasy (feat. Amber Liu)","7Ak3h69T8UqQLFjo0qBKYK",0.812,0.86,0.197,0.0325,0.646
"9","Expensive","427R4ktPgrbkCnGROY2gX1",0.81,0.78,0.189,0.119,0.614
"10","R.E.M","1xWH8zYtDeS9mW1JJG23VZ",0.831,0.485,0.15,0.118,0.622
"11","Comfortable","05fmLn8tNYb3ijIH2jCLPb",0.433,0.554,0.165,0.0903,0.546
"12","NASA","4uTvPEr01pjTbZgl7jcKBD",0.747,0.458,0.303,0.252,0.47
"13","The Overpass","4hUR3thIs01mQUtVmZFJ8F",0.517,0.955,0.167,0.364,0.61
"14","Ces Soirees-La (feat. Erica Piccininni)","0vVobm34c8dITzasWIBxJZ",0.866,0.76,0.0469,0.52,0.868
"15","C'Mon Marianne","3qLGJcwgb2Pe9xiCHpxgpH",0.451,0.747,0.292,0.146,0.816
"16","Get'cha Head in the Game","3pSR2gO4oZgQspQNKO6xRD",0.833,0.745,0.131,0.0711,0.663
"17","Dumb","1ydK8hkHpfzaeLQe6smUwU",0.839,0.729,0.236,0.0842,0.836
"18","Non-Stop","7qfoq1JFKBUEIvhqOHzuqX",0.77,0.482,0.351,0.223,0.441
"19","I Have A Hole In My Tooth (And My Dentist is Shut)","025UUQA6NowbZynZU3Hv0u",0.721,0.499,0.0769,0.0738,0.975
"20","Low","2TqWayWYGNjqfTpapyveyu",0.806,0.879,0.0824,0.318,0.617
"21","Say No to This","3s9itRgJYcKhem01P17865",0.754,0.535,0.305,0.19,0.395
"22","Say Amen (Saturday Night)","4qSsjDGXplb6422X2INvFW",0.491,0.867,0.103,0.458,0.602
"23","Say Amen (Saturday Night)","76vMKwFtdDDCLcM6zXybjB",0.491,0.867,0.103,0.458,0.602
"24","Little People","1B30e9XHKBfKlkHf2u3XnR",0.748,0.772,0.116,0.0519,0.659
"25","Cabinet Battle #2","6KRHMYPIWRgFWlXPgqO2Fp",0.753,0.539,0.537,0.353,0.519
"26","Hurry Up!","5qOmZ8D5KueySUYqkyYypI",0.848,0.554,0.106,0.0458,0.772
"27","Health Food","1ZOPkw0gOQbikXRhDSxBkm",0.862,0.577,0.0995,0.383,0.629
"28","Dirty (feat. Lil Trip)","4IHVolndlbbR0eOGLXAeih",0.772,0.729,0.0876,0.0836,0.545
"29","Stupid With Love","2fB3nWTsj1Aba2oJsAiTck",0.791,0.481,0.0705,0.0376,0.659
"30","Kiss","153HGTa7ldbaV47MQ1tsEc",0.832,0.54,0.0423,0.0483,0.843
