"","track.name","track.id","danceability","energy","speechiness","liveness","valence"
"1","Yorktown (The World Turned Upside Down)","733tju3KUeatsbjcTRQ04i",0.76,0.883,0.25,0.727,0.51
"2","Green","24DY3aMlkXRovAiNhulFcq",0.651,0.781,0.218,0.567,0.766
"3","Say Somethin'","1AaN8oIJlgTUFSZ2tYndWe",0.634,0.879,0.0414,0.485,0.918
"4","Full Time Job","4gtkHMuEMhysN6ZitUSRBf",0.631,0.805,0.0632,0.172,0.906
"5","WHERE I WANNA BE FOUND","4AFBCemec0cYa2JLXqvH9M",0.628,0.693,0.0448,0.653,0.691
"6","Anybody Have a Map?","0SjjcXfArhzePhEzDNkY8z",0.634,0.603,0.258,0.536,0.744
"7","Vacation","1xkixhpqGe2KF5OkVMR9Jr",0.666,0.855,0.0749,0.0839,0.887
"8","Lock Me Up","72I5gb06T9KIESon4AWY8S",0.687,0.857,0.034,0.467,0.68
"9","Big Man in Town","2AObG8D3AVTKVmdLWWSsSd",0.681,0.853,0.0369,0.225,0.413
"10","Higher and Higher","1WcofQlX3MkfAyPkV7c4pz",0.702,0.906,0.0525,0.214,0.898
"11","Black & White","2aDofzh9K1mqXTaANEILES",0.714,0.816,0.263,0.214,0.678
"12","Walk Away","0qbP1p2jMDkCKXIanfmYtI",0.685,0.787,0.0348,0.223,0.624
"13","Exploration","4igUCtHylTwomJlo64j8D2",0.636,0.865,0.0307,0.224,0.706
"14","Absolutely Smitten","71SidvkT6LCBHRZI858TsQ",0.667,0.663,0.0346,0.703,0.507
"15","King of the Clouds","50Hv5NZIM0puIUoBttjpfb",0.285,0.922,0.247,0.159,0.472
"16","Bad 4 Us","5ACLhZ2tV7NT18Eyct5sMP",0.722,0.856,0.0315,0.156,0.905
"17","Wagon Wheel","6zO4pij8tx6UbLVVXWNKa4",0.661,0.7,0.0554,0.187,0.597
"18","New Tattoo","48v15xjPv3Pm7nn659GG11",0.652,0.908,0.21,0.146,0.609
"19","Not like the Movies","05toQr8KfOfb7rmeUun2u2",0.627,0.838,0.0509,0.0753,0.804
"20","I Didn't Plan It","2HhPYh9wefr3DkFKWFLeV7",0.624,0.786,0.174,0.187,0.609
"21","Stupid With Love (Reprise)","5AWmfB2DvoJ5qVRFX4bVmW",0.631,0.211,0.163,0.186,0.672
"22","Walk Like a Man","3JGhIr4i7Pg182Q9uRZ4Ly",0.712,0.795,0.0352,0.165,0.93
"23","Schuyler Defeated","05bhmaAD1urZnQMWNd6p3S",0.745,0.597,0.257,0.157,0.842
"24","Good Girl","7kyTShMdMLi45EGFaDBp5E",0.628,0.845,0.0684,0.19,0.717
"25","Sexy Ladies","2Y4ouk1wtuoOv96oapPwZv",0.705,0.778,0.0617,0.145,0.903
"26","Sherry","11r0OH8zYLcBlryvnAiykT",0.766,0.753,0.122,0.615,0.867
"27","Jaywalk","2WSqVUcwbcVLWJhST2yXxM",0.509,0.874,0.146,0.716,0.545
"28","Now Or Never","4WQJPsbGOdqe24mUVHa8xb",0.747,0.983,0.181,0.706,0.553
"29","Don't Miss Me?","49cMvxwJyXAGHAoXRi1cBn",0.667,0.722,0.0676,0.2,0.385
"30","Best of Wives and Best of Women","1dZutYKh4BtPlxbC81wV34",0.647,0.115,0.0544,0.0858,0.597
