"","track.name","track.id","danceability","energy","speechiness","liveness","valence"
"1","raindrops (an angel cried)","0v2LUO8oTHnkjQ8MmKuXyk",0.336,0.231,0.0497,0.188,0.429
"2","Ocean","20dyDdutlGUpKffvWOLpni",0.233,0.629,0.0374,0.356,0.0647
"3","Paranoid","2wCVpdNSHjqIn2en8jAnF0",0.701,0.241,0.0515,0.149,0.132
"4","White Blood","3sZfQB5uYTJmA4QnB8dv7P",0.477,0.229,0.0555,0.196,0.0819
"5","Alive","7sBzLIvCknMuaSssdRqihX",0.258,0.62,0.0501,0.339,0.199
"6","Mine","2P3uCJFlGDvQKXjOye6d5y",0.269,0.424,0.0528,0.381,0.127
"7","Meant To Be","136J2Jkg8sG7P5wilO9P1R",0.5,0.156,0.0469,0.125,0.405
"8","Planetarium","70RecAVg5QudOXfJs64sM5",0.248,0.142,0.0379,0.548,0.0439
"9","The Way I Feel Inside - From ""Sing"" Original Motion Picture Soundtrack","7FLpaXPZHwXkhgH2gK1VWb",0.537,0.0999,0.0476,0.123,0.395
"10","Whisperers","68ZnB4sxvK5GxyYsUhntml",0.235,0.514,0.0336,0.186,0.0896
"11","Pillowtalk","182nWGUIb6i8vwVtq6GLy0",0.448,0.198,0.0635,0.0904,0.461
"12","Shark","3wwO0kUiwpyzHdkMNoifLR",0.703,0.327,0.0489,0.112,0.128
"13","Secret For The Mad","2Uk0aFqYCtecHL5MCq2we0",0.491,0.0861,0.0565,0.0932,0.391
"14","Pomatter Pie","27GaJQZLpalF6LRtIxXCaU",0,0.19,0,0.11,0
"15","You Will Be Found","1H7Zqkq54andtaSSnLRrfp",0.293,0.624,0.0613,0.0874,0.213
"16","Letting Someone Go","6Wxx1jXr6EyGdt8RuYFzvj",0.543,0.117,0.0389,0.147,0.395
"17","Pancakes for Dinner","4HffeEF97c6UxNePgbuECW",0.753,0.266,0.0478,0.11,0.321
"18","It Only Takes a Taste","0jW4YGXcbUBsMjQa7aHuSf",0.752,0.263,0.0609,0.348,0.374
"19","When the Sun Goes Down","4o1ZZ9TrcwCvqp7wIO0n7l",0.567,0.231,0.0537,0.132,0.0612
"20","Atención","51bgtAyOMjeNaQFeQgaA31",0.744,0.0476,0.0705,0.114,0.426
"21","City Of Stars (Humming)","3gbwtdRrtD05lz08DTxfFt",0.564,0.0136,0.0349,0.111,0.397
"22","City Of Stars - From ""La La Land"" Soundtrack","6XQHlsNu6so4PdglFkJQRJ",0.492,0.116,0.0379,0.0889,0.434
"23","Don't Wanna Be Your Girl","3vqivv428r4JzdiEmkefb5",0.642,0.211,0.0504,0.108,0.171
"24","Selfocracy","4ACUqCQRh7tH6GPY5cg8rI",0.281,0.24,0.034,0.369,0.0901
"25","The Adams Administration","68Ijc4fPmT3P5BN6Vrl2s2",0.8,0.362,0.544,0.121,0.792
"26","Instrumental","7KHT9zexpmqYyxQVLJ5uts",0.211,0.11,0.0374,0.156,0.0981
"27","How Great Thou Art (with Vince Gill) - Live from ACM Presents: Girls' Night Out","3j7vuSGbBECw6fUNfwmEfQ",0.305,0.578,0.0336,0.688,0.153
"28","Hurt Me","4JYBmZcCjPOUg5cofekIYX",0.768,0.435,0.0857,0.122,0.157
"29","How Far I'll Go - From ""Moana""","6VChVf3NAbBtJzvSVEwqJ3",0.179,0.274,0.0336,0.318,0.0987
"30","All We Do","6Vigp41BietH0WoFZ52JI5",0.59,0.242,0.0516,0.0906,0.366
