"","track.name","track.id","danceability","energy","speechiness","liveness","valence"
"1","The World Was Wide Enough","0P09TBGSKiQwfUsEh1UafT",0.653,0.351,0.648,0.107,0.307
"2","Not The Sun","0dNS3jiP5O2EHZVpD8EuxP",0.413,0.28,0.0338,0.0963,0.131
"3","Studio 6","6hv7BNBgKYdBslWup3n13x",0.498,0.208,0.0343,0.0977,0.125
"4","That Would Be Enough","6oF8ueLn5hIl4PRp17sxW6",0.499,0.2,0.0355,0.115,0.185
"5","You Broke Me First","2xKy8HbpMFgHV2xZhpQf12",0.399,0.274,0.0313,0.109,0.198
"6","Postcard (feat. Gordi)","4qNvynwk1nrS0f8Wb4zXIh",0.43,0.36,0.036,0.0967,0.247
"7","Even If It's a Lie - Demo","0MVeLASrPyBrC6hwwhIMwu",0.481,0.293,0.0294,0.11,0.134
"8","You Matter to Me","3OIoLMnnWzAUORFQxRAhdF",0.43,0.231,0.0295,0.116,0.153
"9","Crazy - Live Sessions","15byLK9MadQ44VM9opaGms",0.517,0.25,0.0355,0.101,0.249
"10","Aaron Burr, Sir","6dr7ekfhlbquvsVY8D7gyk",0.646,0.439,0.818,0.0945,0.528
"11","A Soft Place to Land","2diXwZhccjtTaiZN5ZafHZ",0.49,0.231,0.0293,0.108,0.147
"12","Everything Changes","6nUhDYgFdSWWIWnN0Mwq9G",0.338,0.388,0.0328,0.0976,0.184
"13","Never Not","4fFfyouye6vrX9o9z4PVMu",0.47,0.221,0.0371,0.104,0.264
"14","I Was Made For Loving You","4XbQLaWyFkXTwPK33kxWQJ",0.374,0.344,0.0304,0.0966,0.216
"15","Thinking About","6wpUNL6pvnzjehb8Az0jmt",0.433,0.332,0.0362,0.0987,0.277
"16","In a New Bed","4Or1Yp4i3VANJE6E39ys91",0.466,0.189,0.032,0.0899,0.0727
"17","I Hear The Day Has Come","74HDdbE5v7eMS1f6ogMjhu",0.41,0.146,0.0319,0.0864,0.174
"18","Hello","13pgP4LlXf849wDkBJDi5h",0.336,0.381,0.0389,0.0974,0.146
"19","6/10","7b87wnvA8DAdHae3UK38Az",0.471,0.152,0.0335,0.0981,0.0561
"20","Waste","3fOCHVP6W1uXr2kkZ1dzm0",0.581,0.389,0.0331,0.118,0.163
"21","Intertwined","3uYxmgnOA9lJYAsHyEbbWA",0.433,0.126,0.0384,0.115,0.0782
"22","War","5nO5Hrh7KlABfSqEa8OdWl",0.603,0.341,0.0336,0.101,0.195
"23","Glitter","2B3kOESoYsMNFr8LxijuIc",0.527,0.285,0.0349,0.123,0.268
"24","She Used to Be Mine","7CBrUf50mf2IqcRZla38by",0.606,0.223,0.0356,0.115,0.132
"25","Cure","2v4X20YmHDM6c3J0jDS1is",0.317,0.468,0.0358,0.109,0.155
"26","Fools - Live At RAK Studios","4wGQyb9nw8z9hgd7D8Gowo",0.565,0.253,0.0309,0.11,0.229
"27","Sunscreen","2mBP9IsENazdoJ9ep5iR8i",0.582,0.151,0.0353,0.0983,0.197
"28","Perfectly Wrong","0UTHr20nqVFMoji8xYE9yl",0.465,0.311,0.0352,0.0986,0.311
"29","No One Won The War","3FBx1XOA110HBJqZZgwjc8",0.434,0.472,0.0289,0.102,0.115
"30","Impossible - Acoustic","0JswmIBSn3XZ15wEEtH5fj",0.369,0.42,0.0384,0.121,0.257
