"","track.name","track.id","danceability","energy","speechiness","liveness","valence"
"1","Concrete","015EEnzb9yU7gfyyeYYYxy",0.17,0.947,0.348,0.248,0.216
"2","Undivided","2fyIYcaCR2QwPmr59gJpdY",0.243,0.749,0.33,0.372,0.0831
"3","Fracture","6mjcgDyGyVXKiZ8YZhruOf",0.326,0.832,0.273,0.144,0.156
"4","salvador dali (frumhere remix)","74s28AomHiLMxGN508SLCM",0.392,0.488,0.299,0.219,0.302
"5","Stick Up","5ZSKZ0wMdlMi4bQ3XZXXsp",0.31,0.932,0.262,0.349,0.304
"6","plot line","577CraoTrBPJaCM3RW6ekL",0.361,0.889,0.496,0.124,0.517
"7","Chills","1Q8xVViK57bDw8gbyXjP0P",0.367,0.631,0.435,0.124,0.5
"8","Crying in the Club","1SJtlNRJDeYHioymcvsqev",0.334,0.617,0.383,0.163,0.603
"9","isaac's insects","4S1MTCiXNZCtMjrl6236Go",0.312,0.58,0.271,0.121,0.392
"10","My Bloody Valentine","4hnKoBZJ3XHMkNXCFWvoAm",0.317,0.898,0.257,0.0843,0.546
"11","Spectre","523tLRCIRAdkqyWH2CeLO0",0.348,0.652,0.241,0.212,0.38
"12","Ride 4 U - Barren Gates Remix","6vDRs5FXD2dIAnChJ8skYx",0.373,0.831,0.272,0.163,0.332
"13","Overconfidence (Hyper's Cyberpunk Deconstruction)","0cSa59fh4uFioeJeWYYykW",0.337,0.963,0.219,0.046,0.27
"14","Find Me","1WIE72Hc7vZPxGtZc2SvxZ",0.369,0.891,0.277,0.107,0.405
"15","BLOODMONEY","6QPOr9B8aEquK1nGwG9Yj6",0.446,0.894,0.428,0.1,0.157
"16","Yung Bratz","4MRv6Htnn6Mb1veJ0kj46C",0.504,0.638,0.504,0.207,0.193
"17","Under My Bed","14ZcxUFvkaP1xZui1aKiwh",0.521,0.351,0.282,0.241,0.482
"18","Tr4$H T4lk","5uxpt840cWYCCF7FTUgV3i",0.446,0.557,0.389,0.134,0.447
"19","Hey Motherfucker","0IFTWqKWk3wTfKeDD8x8sp",0.417,0.911,0.321,0.399,0.169
"20","Welcome to the Metaverse","5y25BPu2l2xwDo4M1bEuHw",0.494,0.949,0.471,0.0808,0.228
"21","Hotel Room","2dnv3Jz4HfVp9KAUqumtVt",0.444,0.757,0.48,0.0887,0.376
"22","Solar Sailer - Remixed by Pretty Lights","4OgB6TRmIGBRT4NoFxxIQd",0.363,0.733,0.208,0.247,0.406
"23","Everybody Gets High","3nH3Gtm9GQVfiaYDr4AXji",0.432,0.558,0.286,0.0924,0.46
"24","Freedom","5FqSUj702RPTQd9REMXeUh",0.387,0.795,0.209,0.101,0.434
"25","Experiment On Me","2xVuumAfdJpWCqqYZbTI1Q",0.4,0.894,0.334,0.352,0.365
"26","eat u alive","7h4JAMbOqLg1GV41XLhZk1",0.491,0.531,0.522,0.128,0.557
"27","Waratah","7zJU0nGTNnSI6Ei3yyaFaS",0.471,0.927,0.234,0.2,0.183
"28","Stuck","6v8jXGMLWpAT9Uy4NzwJZk",0.385,0.786,0.282,0.103,0.519
"29","Meet Me","2B00MZNljOitCgetHiNcxf",0.46,0.697,0.414,0.306,0.315
"30","Potion","3agEscWdLfv8XEttP6OZMP",0.41,0.823,0.206,0.202,0.416
