"","track.name","track.id","danceability","energy","speechiness","liveness","valence"
"1","Alligator Loki Sings A Song","5Nt0SR42qz5Dr5Y3Tur6Uy",0.882,0.775,0.3,0.0561,0.659
"2","Internet","4M8w7EgMZnjronZvXauDre",0.873,0.485,0.172,0.111,0.491
"3","1997 DIANA","55jQMevNp7aWtiW5LPlPoa",0.805,0.719,0.324,0.327,0.906
"4","yes & no","6UVZo6UKUZC1J2KPP3IIwQ",0.835,0.505,0.168,0.198,0.665
"5","Bickenhead","17Yq72h0p15OhCbZ5lJ5gd",0.884,0.814,0.303,0.158,0.907
"6","Ice Cream (with Selena Gomez)","2J4P46vCFm1rPkNkp9pZWX",0.79,0.729,0.334,0.0411,0.904
"7","Somersault","3M6xyz8EbPMI6Zrwnzu5Xk",0.852,0.653,0.181,0.0739,0.652
"8","Man Areas","3AN5LEspFZQdQUFUUqsDct",0.858,0.829,0.181,0.367,0.692
"9","Thrift Shop (feat. Wanz)","4YMqbFcDIFiCBd02PzUBcM",0.781,0.526,0.293,0.0457,0.662
"10","Back Pocket","1DrlLvlYd1FIjNavRm6NdX",0.839,0.585,0.153,0.0435,0.89
"11","GTG","3XWgS0nkL0XI5Fvm6wrleH",0.834,0.845,0.125,0.0688,0.976
"12","Death by Dishonor","5VphpldmtVyZH6S8RpHWLT",0.81,0.735,0.171,0.115,0.134
"13","Ghostface","3KXnernULp3hwFbLR4dIpD",0.838,0.651,0.163,0.19,0.555
"14","I'm a Slave 4 U","6ldwfK0yWgTAlmIfuQkTYN",0.847,0.843,0.106,0.107,0.963
"15","I'd Kill","5Rs4HZSJIxnQAT3YWiArgj",0.897,0.499,0.0934,0.0925,0.873
"16","Throat Goat","2eKFa10K8Hu1VCTLm3DUkO",0.915,0.705,0.125,0.0621,0.958
"17","Clean up Anthem","5YHWZBmE0txhK8GfkkAZDx",0.846,0.725,0.154,0.0892,0.616
"18","Like That (feat. Gucci Mane)","4EivmOT13NMpNSfTKn9p4s",0.879,0.498,0.18,0.0967,0.405
"19","Cxntour","6lri953yfgOZasyJq0jCgN",0.815,0.67,0.185,0.125,0.582
"20","Where Is The Love?","1FreAz1lmnDi5aKLB6GdFM",0.835,0.687,0.184,0.132,0.828
"21","Wickedest Bounce","7dpUe9tkRfD9FMBAY9pS8W",0.874,0.783,0.137,0.0419,0.889
"22","Alive","1wp2jbXd0blOGchPxa9Ch5",0.805,0.536,0.181,0.116,0.5
"23","ZEZE (feat. Travis Scott & Offset)","0FZ4Dmg8jJJAPJnvBIzD9z",0.861,0.603,0.176,0.0924,0.504
"24","In Da Club","4RY96Asd9IefaL3X4LOLZ8",0.902,0.72,0.347,0.0749,0.805
"25","Rock Your Body","1AWQoqb9bSvzTjaLralEkT",0.892,0.714,0.141,0.0521,0.817
"26","Never Going Back (feat. OCD: Moosh & Twist)","6lOYtSd1ZNKsIXrZaBYW2u",0.82,0.601,0.163,0.0847,0.567
"27","Freakshow","5X9tIJkTHxB19SK3FtnHT5",0.832,0.797,0.0943,0.0673,0.951
"28","Break My Back","159sJV3G3SaPfSDMsVzI4R",0.775,0.452,0.295,0.0847,0.654
"29","Starstruck","7p4oQBhS0Oqx6m2GMQ9FvR",0.876,0.631,0.143,0.062,0.509
"30","Sober","2mNbgyi0gori4b1rFSPgIb",0.795,0.488,0.192,0.133,0.528
