"","track.name","track.id","danceability","energy","speechiness","liveness","valence"
"1","The Fight","5Ok3uOPbafn05DRISYECGv",0.675,0.852,0.0463,0.612,0.804
"2","Good as Hell (feat. Ariana Grande) - Remix","07Oz5StQ7GRoygNLaXs2pd",0.668,0.892,0.0645,0.735,0.478
"3","Last Friday Night (T.G.I.F.)","3avYqdwHKEq8beXbeWCKqJ",0.652,0.812,0.0409,0.667,0.72
"4","I Told You So","103k5yrMtE4ox69BYF8DBX",0.748,0.812,0.255,0.87,0.856
"5","Pump It","6btyEL6NwUa97Nex9cZFvo",0.649,0.931,0.181,0.751,0.744
"6","Mustache Man (Wasted)","5YfE7GXM5Mfs9Aul3uth1j",0.641,0.787,0.0316,0.863,0.821
"7","Last Friday Night (T.G.I.F.)","455AfCsOhhLPRc68sE01D8",0.649,0.815,0.0415,0.671,0.765
"8","We Run This","4eXPHUMhVBynyIRNZEn4G2",0.744,0.9,0.222,0.617,0.747
"9","Fake Love","1RBgX76vJNZxjJjhmUsX8z",0.662,0.764,0.138,0.637,0.757
"10","BITE ME","1dDDQM0YvlrdPi6EVmEDun",0.761,0.806,0.0603,0.619,0.707
"11","Pool Party","2jngua5kpAJodNd77Rd18g",0.747,0.864,0.141,0.608,0.35
"12","Masterpiece","1RWwrcpGJy1sPO14YwYLVs",0.714,0.784,0.0554,0.628,0.482
"13","Super Bass","0iYebKFUSfF72fUu2OW6ZT",0.72,0.861,0.209,0.601,0.669
"14","Slow Down","2OsEJFTfzfjG4oC92cuP2c",0.722,0.821,0.165,0.631,0.721
"15","Sick Of You","0LFApEa4w83A7p8uFZbDxY",0.663,0.548,0.0309,0.626,0.829
"16","What Goes Around.../...Comes Around (Interlude)","4ZrEjG3Vef85NTve8ptC9Q",0.685,0.725,0.177,0.592,0.381
"17","Wave","4DejIFYUvkb0cgJBw6t8qR",0.755,0.805,0.0706,0.683,0.318
"18","O.G","1aQ8HdSmvofR0bjGkpvaKf",0.7,0.681,0.0364,0.626,0.622
"19","Government Hooker","163qYiv7eLxiExe5FwUZqm",0.672,0.804,0.0365,0.689,0.496
"20","Before the Devil Knows I'm Dead","3B3IqfBd4sgGzgCzvLgy8n",0.247,0.619,0.0479,0.678,0.59
"21","girls (feat. phem)","4Y1cqXFt1JgdzodgqqQskd",0.711,0.733,0.0405,0.639,0.595
"22","Focus","1cdzfFjEbUbgTm5nv3FgXR",0.671,0.876,0.239,0.444,0.8
"23","Kiss In The Snow","5nmcAkibN03f3gFR8z1A3z",0.703,0.756,0.0451,0.668,0.514
"24","Mad at Disney","7aGyRfJWtLqgJaZoG9lJhE",0.738,0.621,0.0486,0.692,0.715
"25","Let's Love","6lhZLbb0czULpjb2kFryPS",0.662,0.868,0.0341,0.584,0.353
"26","It's Time","6BtmXhTJMM9sBTHeYYASGz",0.656,0.884,0.0372,0.145,0.86
"27","Thriller","1D9KEXIrlmPUkMTdYzqgX4",0.776,0.857,0.0704,0.918,0.799
"28","Mountains","1cCTqA5a9oPo4GCPnQAoOP",0.72,0.573,0.0553,0.751,0.563
"29","Walls Down","6MpxDRCclfNNpUdFbnNmyE",0.673,0.781,0.265,0.557,0.534
"30","Expectations","3760Ge809Qt37dtRMHsG1f",0.666,0.856,0.0629,0.184,0.707
