"","track.name","track.id","danceability","energy","speechiness","liveness","valence"
"1","Amy","5YA70mFc2wDH7BP5KmYKNg",0.266,0.29,0.0362,0.966,0.0658
"2","Inception: Time - Orchestra Version - Live","5TXY9UWJMiMopFTpW0uUBb",0.259,0.118,0.0403,0.701,0.0367
"3","Wake Up","6K6OCvFQ4i7KKfGJsOAqY1",0.387,0.374,0.0332,0.851,0.393
"4","Badlanders","3COUNGSSGOy6MD3FtHLvAl",0.261,0.905,0.041,0.913,0.283
"5","Sometimes I hear Howlin' in my head - NAVI Edit","4eyRo60rKWIkNXQqSlOZZS",0.329,0.682,0.0508,0.847,0.286
"6","Third Quarter Storm","3TRkuPq2L9aKWvKZhDXimd",0.455,0.158,0.0289,0.557,0.0335
"7","Trap Of Love (Bonus Track)","3czqqLqMQtejo6XKGz8IW5",0.354,0.821,0.059,0.873,0.411
"8","Numb","18mV837bYoLSA0daClqPc3",0.492,0.318,0.0508,0.64,0.0471
"9","Esperanza En La Oscuridad","6YKCLlhQyz18DbQoorGUxY",0.0863,0.332,0.0422,0.426,0.0209
"10","The Data Vortex","21aOBz0jXZcBR7yuiYf0Cv",0.13,0.198,0.0335,0.253,0.0337
"11","Hell","2xTjiiTbqACn98AjCL5tcu",0.385,0.697,0.0635,0.736,0.195
"12","CHEVY 85","5ywVBpzpRMXPv2ku0Cf7Tx",0.378,0.464,0.0428,0.632,0.108
"13","Let's Love - Robin Schulz Remix","2aZDpay0CohwxTPQtxetAG",0.446,0.784,0.0944,0.821,0.254
"14","Sad Boy Hours (Intro)","3rJyu9s9y3Dgy7YBFhLkoG",0.542,0.0847,0.07,0.328,0.107
"15","No Weapons","2gfZCMsk9arAdwJvXRURvK",0.173,0.0281,0.0483,0.197,0.0283
"16","The Hanging Tree","4TFkD9WqRWJ9oRbEOl7Gsm",0.318,0.0755,0.0388,0.239,0.194
"17","EARFQUAKE","5hVghJ4KaYES3BFUATCYn0",0.554,0.498,0.0685,0.795,0.413
"18","Before the Devil Knows I'm Dead","3B3IqfBd4sgGzgCzvLgy8n",0.247,0.619,0.0479,0.678,0.59
"19","¿ (feat. Halsey)","6shny2UVkpaLc7jEKEoePa",0.51,0.789,0.116,0.838,0.13
"20","Bad Drugs","2fCnkyYpn2VWukpyo0zQEt",0.392,0.528,0.0588,0.639,0.278
"21","We Will Rock You","22GetoSByhvjxGShdWX0Lk",0.559,0.483,0.0345,0.624,0.149
"22","when the party's over","43zdsphuZLzwA9k4DJhU0I",0.367,0.111,0.0972,0.0897,0.198
"23","silence is all i have now","5yRg9b3IsNwtXOYdofxdx6",0.463,0.179,0.129,0.393,0.0581
"24","O Superman","421Gp1eSmOIcD6alTWowFR",0.8,0.024,0.0524,0.101,0.309
"25","Chaos","1C2YhtcWD4YuOEFTjsLEI1",0.223,0.29,0.0318,0.346,0.123
"26","Behind My Eyes","3xl9u7eDWuNrxnda4KoFDK",0.433,0.606,0.133,0.675,0.125
"27","That Other Girl","04Mr5jeXzPFnEQUPtPzRVP",0.725,0.127,0.0595,0.118,0.086
"28","Pedialyte","6wn9bvHpg8NmWy1ZesqNke",0.375,0.306,0.0741,0.5,0.332
"29","Main Title And First Victim","1g10rYqM3jJQsWRnXCFcx7",0.164,0.0634,0.055,0.0927,0.0363
"30","Learn to Fly","3ujwloiymk8tpkQ9bbQ2q3",0.843,0.0734,0.0488,0.106,0.502
