"","track.name","track.id","danceability","energy","speechiness","liveness","valence"
"1","Writer In The Dark","5bMWY1u9ghi4X6fIAsQRaC",0.325,0.271,0.0418,0.301,0.279
"2","Over","0RxaguLagowMxpsLre3KOv",0.337,0.479,0.136,0.0727,0.223
"3","How Villains Are Made","2yBtRSO2j14bDmJFH146AE",0.357,0.366,0.0305,0.0807,0.262
"4","when the party's over","43zdsphuZLzwA9k4DJhU0I",0.367,0.111,0.0972,0.0897,0.198
"5","Lucid Dreams","0YNHxKTmqvwfpkfExeti45",0.294,0.467,0.0986,0.159,0.132
"6","Medicine","4n2bLMX5M9XKtU2w7vzhhp",0.398,0.117,0.128,0.134,0.156
"7","project 5 (demo)","3pRBsK0zgB0L7Ka7PwtSqX",0.575,0.437,0.166,0.118,0.119
"8","Pluto","1cYzJoQFVYdSuO68TFJn5b",0.486,0.166,0.167,0.124,0.349
"9","Airplane Mode","57ifn7s0IPnqCgXXHXQCHL",0.665,0.373,0.158,0.108,0.07
"10","The Christmas Song (Chestnuts Roasting On An Open Fire)","4IkN8DoIuCYzCpcSeMcQSS",0.244,0.448,0.0402,0.268,0.283
"11","utopia","6FJFq3GTvpPgw2xIfwmguR",0.364,0.413,0.0286,0.105,0.313
"12","Serotonin","5sE7mswGnR5LJxhwgXL9ql",0.47,0.418,0.176,0.159,0.224
"13","Reluctant Heroes (From ""Attack on Titan"")","6favFcMdo33h7JZqOB2bXM",0.513,0.249,0.0282,0.103,0.257
"14","Safe & Sound - from The Hunger Games Soundtrack","0z9UVN8VBHJ9HdfYsOuuNf",0.471,0.3,0.028,0.0698,0.289
"15","Money Hungry (The Feeding)","6P2Ctqcn2sMu12wps8BCEq",0.385,0.525,0.186,0.0836,0.134
"16","Elastic Heart - Piano Version","0udoMICxzaUbNUT8EVRq8B",0.44,0.306,0.0377,0.0888,0.25
"17","nothing special","4bDCXSHEi3aXkvv1R4mYNq",0.31,0.531,0.1,0.06,0.0538
"18","CURTAINS (Interlude)","0FsGel0icxM9jVuiAFKGbC",0.477,0.168,0.145,0.111,0.0847
"19","Monte Carlo","4aNJ0WZCsawOOzu6sQ2h1w",0.554,0.286,0.129,0.101,0.0612
"20","CHEVY 85","5ywVBpzpRMXPv2ku0Cf7Tx",0.378,0.464,0.0428,0.632,0.108
"21","Arcade (feat. FLETCHER)","1LaSuvCbVB87ANKGfjUTbh",0.446,0.395,0.0365,0.128,0.267
"22","No Ones Gonna Love You","6NBqiBWNlfzOpvBMArCLEh",0.424,0.39,0.0272,0.0961,0.282
"23","boy with the rosy cheeks","4NbcLTxFknDNTv7WSzHRnB",0.303,0.234,0.0293,0.13,0.3
"24","Drinking Lightning","4A6eJ3gOmVdD7C69N3DC7K",0.534,0.334,0.0282,0.455,0.11
"25","Yoü And I","4q0crFErlOEybi84JzBqTp",0.555,0.331,0.0354,0.117,0.255
"26","Confidence","4REDnkbAqq7mjGTseI9DHk",0.527,0.438,0.15,0.107,0.173
"27","Creep","3AOcpwgy3V2Fwg7B8PZfKl",0.292,0.359,0.0328,0.108,0.228
"28","I Am the Antichrist to You","4d3pqEn7wgILCKDhUbv1wx",0.329,0.265,0.0429,0.101,0.304
"29","Pika","310HcHNuct4lVUDu0vs8Yb",0.477,0.329,0.0331,0.141,0.304
"30","Marie","52iQYeQH3SccZs5Uugedx0",0.528,0.273,0.0407,0.125,0.299
