"","track.name","track.id","danceability","energy","speechiness","liveness","valence"
"1","CMOS","2pDH9FivFnEQUvvZUPToa7",0.585,0.609,0.0356,0.285,0.363
"2","Burning Alive","5FN1qN680GO9MJ7rs5wyb7",0.595,0.673,0.0295,0.292,0.315
"3","Bury Me Low - FWLR Remix","11FnhBlSYnz7r0O9HlCIxt",0.577,0.858,0.113,0.346,0.448
"4","Addict With A Pen","4bk6v5SBxNoVsbOvdOvUAJ",0.553,0.787,0.0931,0.102,0.298
"5","One Nation (feat. Pretty Lights)","19fAPL6nUe7fCVKndwP6me",0.577,0.86,0.107,0.234,0.395
"6","Hero","5AprQMAX0PtpG923NUgZN6",0.549,0.741,0.0325,0.298,0.42
"7","Vigilante Nocturno (feat. Carl Restivo)","2B0NgDhbDqaiMDfFGjHIRu",0.553,0.948,0.0613,0.183,0.357
"8","Bonetrousle - Undertale Remix","3FJqW7EOrPBkO08hzSGC4X",0.535,0.717,0.107,0.0915,0.238
"9","Chlorine","23OXdR7YuUBVWh5hSnYJau",0.609,0.674,0.0548,0.345,0.315
"10","In The End - Mellen Gi Remix","5rAUZy2eDdegBxUVYxePK2",0.618,0.611,0.11,0.162,0.224
"11","Bury Me Low","3iARls5EH6Q4fks2tWJStQ",0.533,0.824,0.101,0.269,0.389
"12","One Hell of a Time","2PMX8sBBrT0q7B4sQkBR7a",0.586,0.758,0.114,0.256,0.703
"13","Polarize","6GmkJJMe9U1tEcrJ3Hq3A1",0.597,0.666,0.0418,0.1,0.626
"14","Black the Sky","6qrRjccCGT1LC9yO0bsBfm",0.553,0.6,0.0265,0.0916,0.681
"15","Honeycomb Herald","0nKZsdHAqChEd0jwynrfoW",0.58,0.648,0.0665,0.0759,0.483
"16","How Long (feat. Steve Aoki and Tim McIlrath)","7jkc0BRaTGwseDZr9JrVnt",0.582,0.867,0.0838,0.107,0.362
"17","Johnny Boy","2hUFjIbpKaRqs97OjUAmXb",0.561,0.841,0.0515,0.24,0.356
"18","Reconstructing Science - Remix","0HnNFRIe4PFCQmo7KTtRCj",0.582,0.843,0.0373,0.0574,0.43
"19","Out Of Memory","5IawVRxsgtrIEWy1uZNaIo",0.554,0.829,0.0331,0.234,0.138
"20","I’m So Sorry","68hC01gNja5yqY5JCkV82E",0.528,0.687,0.0532,0.251,0.423
"21","Trees","1yf97yL1ll8FYXC27c9VTw",0.584,0.833,0.041,0.169,0.324
"22","Ones And Zeros","6W0ZYqpH88NpGN87vj6ZZd",0.597,0.702,0.0351,0.22,0.496
"23","HUMANS - Far Out Remix","2HDE7gJUAf4FTH1ubzM042",0.407,0.742,0.0472,0.338,0.29
"24","Gaster's Theme - Remix","2urxzpjOmYmpD1yZAT31r2",0.388,0.971,0.0413,0.293,0.38
"25","Read My Mind","7cX4PJz1old9fyFI8RlfgW",0.543,0.917,0.0444,0.104,0.329
"26","Interconnected","6ibfO3qu7g7vSWKEEfiLvF",0.573,0.786,0.0298,0.434,0.47
"27","The Hype","7I3skNaQdvZSS7zXY2VHId",0.53,0.816,0.0503,0.379,0.371
"28","Beast","1h9wNgbjr5R7nHy0hrmFPO",0.522,0.776,0.034,0.194,0.318
"29","Channel 43 - NIGHT / MOVES Remix","3JOVTP1RRDeSMr29BmHjjg",0.602,0.853,0.0403,0.182,0.35
"30","One Step Closer – Spotify Singles","3PmNDKYfKGALpIRz5CEQD1",0.489,0.937,0.0494,0.14,0.345
