"","track.name","track.id","danceability","energy","speechiness","liveness","valence"
"1","Crazy = Genius","6V68ItawQkQlZhYIf1S86C",0.455,0.91,0.166,0.107,0.447
"2","Smithereens","5G6Gt9RtNaeIE418pd4yre",0.764,0.548,0.14,0.0769,0.519
"3","The Search","3oLe5ZILASG8vU5dxIMfLY",0.789,0.789,0.298,0.099,0.37
"4","This Is America","0b9oOr2ZgvyQu88wzixux9",0.854,0.463,0.137,0.354,0.549
"5","When I Grow Up","0hWzB4dR1zwcokPvccww0k",0.817,0.814,0.185,0.152,0.247
"6","Car Radio","5cbpoIu3YjoOwbBDGUEp3P",0.766,0.519,0.0366,0.0855,0.612
"7","Battle Sirens (feat. Knife Party)","6PeXzqP7E9g3H0aMbBhB9L",0.332,0.933,0.161,0.29,0.0834
"8","Stressed Out","3CRDbSIZ4r5MsZ0YwxuEkn",0.734,0.637,0.141,0.0602,0.648
"9","High Seas Hi-Jinx","7MOLuGHl3msefPDQF8MeKG",0.713,0.749,0.124,0.0754,0.664
"10","The Judge","1lguQJjlNrIOoOylYVZN3M",0.423,0.797,0.124,0.137,0.592
"11","Ruse of an Ooze","0dvxG9bYKI4ZUCYwcF3c5N",0.708,0.774,0.106,0.296,0.757
"12","Railroad Wrath","0v3uNqdn2dHuSCQLFperyZ",0.524,0.75,0.155,0.0625,0.744
"13","Fall Away","77vDHmiANW3JS2gNN5q7pI",0.816,0.766,0.0565,0.0893,0.696
"14","Dramatic Fanatic","7Hd76FhngTrK6KK8TNVnFb",0.775,0.801,0.138,0.0904,0.723
"15","Not Today","7qxjGHW485TL8ciwkHD5MK",0.77,0.706,0.0302,0.0985,0.527
"16","Murine Corps","0HBseo5ADohKTaH6JK3rn1",0.726,0.63,0.169,0.0392,0.737
"17","The Pantaloon","6QOZWUCG5vq4xtU3mW2ZA2",0.733,0.636,0.0299,0.32,0.591
"18","Doubt","57yL3161hUMuw06zzzUCHi",0.719,0.645,0.0358,0.362,0.69
"19","Message Man","4Oyl6oYSNeeZZP0OAxPVaU",0.715,0.838,0.118,0.15,0.497
"20","Rhythm & Blues","5bAJhDTVCWVScr5Ev4LnB2",0.433,0.863,0.0296,0.351,0.54
"21","Morph","01vv2AjxgP4uUyb8waYO5Y",0.734,0.607,0.0806,0.0968,0.518
"22","Lucky One (feat. K.Flay)","78VbQcPp4pfze0sMWyej6q",0.483,0.804,0.0923,0.135,0.596
"23","Drag Me Down","2K87XMYnUMqLcX3zvtAF4G",0.73,0.703,0.0369,0.0657,0.595
"24","Semi-Automatic","70Cp0ukCMyWeJML77NGERU",0.78,0.716,0.0439,0.0704,0.362
"25","Megalovania","630ifcUFrehtXlP6m6JBKo",0.478,0.943,0.152,0.071,0.302
"26","Nico and the Niners","5SehvGGC53A7SZKCLXQcyt",0.728,0.602,0.185,0.318,0.328
"27","My Blood","5HeKOKc4phmLn8e4I7EkzD",0.749,0.723,0.0432,0.0977,0.674
"28","Fake You Out","3MLtopC0uho28PxZN7Zecy",0.84,0.608,0.0458,0.0874,0.727
"29","Hard Drive","1Mxd3OO9ZOcSevhrO0pU6g",0.458,0.845,0.0307,0.344,0.688
"30","Levitate","2uBhGx3m5iJrtsql8Qk00j",0.7,0.934,0.17,0.114,0.224
