"","track.name","track.id","danceability","energy","speechiness","liveness","valence"
"1","Death by Glamour (Undertale Remix)","5XI6BxRGJNkUDrCEWdHgQQ",0.7,0.757,0.205,0.848,0.366
"2","This Is Halloween - Remix","5y3U5UoMDa7hFZ39piEAhS",0.609,0.955,0.0421,0.667,0.569
"3","Whore","0nDuH38K39dbgFAiqcPUjW",0.675,0.645,0.0238,0.444,0.769
"4","Lets Go","7dvIJzdLAkXElcLgu1bGJl",0.677,0.898,0.06,0.285,0.713
"5","Where It’s At Ain’t What It Is (feat. Gary Clark Jr. and Nico Stadi)","1SGLE4F61R8duyLxDQmpDo",0.689,0.861,0.0447,0.266,0.591
"6","Ruse of an Ooze","0dvxG9bYKI4ZUCYwcF3c5N",0.708,0.774,0.106,0.296,0.757
"7","Hang","3hqNHQeH0zhObqWTgI5ZPq",0.714,0.856,0.0608,0.164,0.742
"8","You’re The Best Thing About Me","2dhJM2skHC9D41gHj34Kgw",0.65,0.78,0.0351,0.294,0.809
"9","Happier","2dpaYNEQHiRxtZbfNsse99",0.687,0.792,0.0452,0.167,0.671
"10","Whole Lotta Love","2tpgdrjuM8vqzgHrsCWKjc",0.703,0.81,0.0563,0.243,0.543
"11","Botanic Panic","0YBHCNZipJmhgykFFInajM",0.692,0.797,0.127,0.0769,0.792
"12","Shotgun","4ofwffwvvnbSkrMSCKQDaC",0.673,0.735,0.0457,0.242,0.754
"13","Hometown","40sRwFjfrRnaTdYPJIg4CP",0.683,0.753,0.0317,0.357,0.389
"14","Guns for Hands","4RdRa3qq0GBSKjomxrkh5K",0.684,0.858,0.0342,0.0828,0.518
"15","Doubt","57yL3161hUMuw06zzzUCHi",0.719,0.645,0.0358,0.362,0.69
"16","High Seas Hi-Jinx","7MOLuGHl3msefPDQF8MeKG",0.713,0.749,0.124,0.0754,0.664
"17","Threatenin' Zeppelin","3cShnBQsJ2zLR6iya0V3z1",0.645,0.782,0.0617,0.207,0.723
"18","The Airship","3Mk62kPEDmcXpEvAM8ng72",0.656,0.781,0.141,0.0592,0.648
"19","House of Gold","36tghkPg1AO4HsAzo6YpPp",0.68,0.693,0.0435,0.208,0.851
"20","Message Man","4Oyl6oYSNeeZZP0OAxPVaU",0.715,0.838,0.118,0.15,0.497
"21","Space Invaders","3788uHPTofMSIvVyDxOtxQ",0.662,0.767,0.0329,0.125,0.589
"22","Screen","1pKmfhwbZvsyYUP2eOGdw5",0.718,0.714,0.0622,0.141,0.84
"23","RIP","1lXDhwKlfa9JFuY6ecifiJ",0.646,0.85,0.0301,0.182,0.556
"24","The King's Court","3Q1ihQlFp9V9VDYxlWb25u",0.685,0.696,0.0629,0.176,0.569
"25","Drag Me Down","2K87XMYnUMqLcX3zvtAF4G",0.73,0.703,0.0369,0.0657,0.595
"26","Clip Joint Calamity","7uVpjihhrP2plvxnSzP6JY",0.656,0.709,0.0615,0.234,0.587
"27","Fairly Local","1s9xuJxhYM0LdVqksjegcg",0.715,0.723,0.0569,0.084,0.479
"28","OK","4ZS3PmdXt20YDDsgEh9zmM",0.626,0.703,0.0331,0.348,0.601
"29","Men in Black","7gVbn6CXC3lEvkUy27jsDV",0.689,0.865,0.0478,0.101,0.387
"30","The Pantaloon","6QOZWUCG5vq4xtU3mW2ZA2",0.733,0.636,0.0299,0.32,0.591
