"","track.name","track.id","danceability","energy","speechiness","liveness","valence"
"1","Death","4B6A1T91lF1IRKkBVwUzWe",0.539,0.198,0.835,0.359,0.21
"2","Somewhere In Stockholm","2K1zp0p7PVmrBUQu6evtfe",0.237,0.766,0.24,0.112,0.535
"3","Play (feat. UK:ID)","0ooZRLtbwYjdRy8BM8hQsh",0.409,0.995,0.237,0.0871,0.15
"4","Expecting","4BdyNseqOFVFUsXJRkpn4X",0.357,0.947,0.222,0.158,0.264
"5","The Factory","5vaaebnSBCZRVoEqZ6rEWs",0.383,0.92,0.29,0.456,0.217
"6","Solar Sailer - Remixed by Pretty Lights","4OgB6TRmIGBRT4NoFxxIQd",0.363,0.733,0.208,0.247,0.406
"7","Opening - (The Nightmare Before Christmas)","5zhBhWQcHsvycF83yvIAzC",0.503,0.286,0.469,0.116,0.56
"8","Oogie Boogie's Song","1TctVlWvNpmKGHMuPqJ5G2",0.5,0.435,0.288,0.136,0.573
"9","Closing","66Dtn2xsYdZvGMqOLSwvSZ",0.508,0.254,0.531,0.638,0.626
"10","This Is Halloween","7aoInyY7amyKi0NFDLFZbP",0.482,0.944,0.172,0.0914,0.295
"11","Zero Light","1J0hTPAHYMr8tKHVjvQF5z",0.246,0.908,0.172,0.358,0.624
"12","Ooklah The Punk","3bbPbCnXkLTOOA8hejvwDD",0.294,0.968,0.103,0.115,0.828
"13","Senses Overload","4oUQA3eUAzfP6AGVARNmIN",0.45,0.889,0.126,0.0652,0.374
"14","Toro","3Lj2PcKAkTXYiSVSeT7UA7",0.43,0.879,0.132,0.102,0.561
"15","Wake Up","0tK2WOHDVX2I0KRF9D0K4I",0.42,0.832,0.117,0.175,0.561
"16","Spice Drops","02dHaKH11F7VrEp3aCgOnw",0.299,0.969,0.111,0.0734,0.653
"17","Seasons","20qYroyxwJrTieybh00uKP",0.39,0.987,0.0544,0.0826,0.654
"18","Dry Run","7oWbq0t2oUKerJypx2asKA",0.294,0.963,0.0805,0.123,0.846
"19","Body Juggler","3U0nGmwyInpydcegQo2vBA",0.337,0.99,0.0779,0.0522,0.771
"20","Tract Boy","3Stj6Yxce2JpC6NPQlHvdy",0.401,0.982,0.0527,0.0628,0.606
"21","Trouble","6JsePoT1VWserj2YIUu0hE",0.388,0.889,0.116,0.142,0.327
"22","Look Alive, Stay Alive","5LQ6tJC074BLxn09JUv8B5",0.444,0.913,0.105,0.267,0.519
"23","Battery (Remastered)","7wz8LNfmGZ3C0PwKW9LdDg",0.48,0.923,0.0682,0.106,0.44
"24","King of the World","5vBuxtwitUimHR2gBOnJYR",0.433,0.879,0.067,0.0688,0.536
"25","Shrinky Dinks","38sRvfuyngSszsT2eVaX7K",0.313,0.971,0.0655,0.0426,0.893
"26","Falling For You","1MnXNW03vkijBz0GHAsHgW",0.406,0.925,0.0486,0.14,0.407
"27","Monster","2Xaw1RrXP3mdooKWysuRJ8",0.472,0.774,0.0824,0.132,0.443
"28","Encom Part 2 - Remixed by Com Truise","3SL3UavpjRKNMM9UVlE9Bx",0.488,0.934,0.0535,0.153,0.266
"29","Hotel Yorba","6J2rMdXyBOi9Pp3NWaMZFk",0.382,0.798,0.093,0.0813,0.77
"30","Firepower","4XDSPU97OhnuX8gq2ma2Pc",0.446,0.819,0.0594,0.0864,0.588
