"","track.id","track.name","danceability","energy","speechiness","liveness","valence"
"1","00pFKTsXTYfLwGlNnUYETw","Jesus, Take the Wheel",0.285,0.511,0.0304,0.111,0.138
"2","023OVLNzXhX0j7CxswUt6D","Cheerleader - Felix Jaehn Remix Radio Edit",0.78,0.68,0.0305,0.138,0.594
"3","025UUQA6NowbZynZU3Hv0u","I Have A Hole In My Tooth (And My Dentist is Shut)",0.721,0.499,0.0769,0.0738,0.975
"4","02NKMA9cIkq6VuBNu9q9Wf","The Chipmunk Song (Christmas Don't Be Late) - Remastered 1999",0.612,0.37,0.0344,0.23,0.777
"5","03uQyt8Bdnt2paQgCWZl5v","Apex Predator",0.656,0.804,0.0894,0.297,0.489
"6","03vyB3AHCuEGfhh7wPc7Yf","When You're Ready",0.49,0.473,0.129,0.113,0.603
"7","05bhmaAD1urZnQMWNd6p3S","Schuyler Defeated",0.745,0.597,0.257,0.157,0.842
"8","05fmLn8tNYb3ijIH2jCLPb","Comfortable",0.433,0.554,0.165,0.0903,0.546
"9","05toQr8KfOfb7rmeUun2u2","Not like the Movies",0.627,0.838,0.0509,0.0753,0.804
"10","08O9ITh2Pj9xEA0IVRuIDV","Mud Blood",0.734,0.521,0.0417,0.358,0.707
"11","0A8HsvOQDZwok0iyMflSdW","More Is Better",0.368,0.384,0.0436,0.0836,0.351
"12","0at9NPpQtKkwaWyruZbjop","Glimmer",0.554,0.809,0.0519,0.162,0.444
"13","0Blojh3eznTkOiIJSDKb6W","Opening Up",0.585,0.723,0.0592,0.115,0.773
"14","0bsMTtWnxQ4lKlfBreueZt","One Dance (feat. Harper)",0.394,0.443,0.0414,0.268,0.312
"15","0CDiPsPxx1Xtg5t3d3yoUW","Midnight Mouths",0.573,0.617,0.026,0.129,0.249
"16","0Cgd9QmbRtRbKXKyOlVnGb","Love Yourself",0.8,0.406,0.335,0.237,0.728
"17","0cQ5y2ycYOR7KrMG752t8Q","Solo",0.567,0.644,0.0488,0.463,0.34
"18","0cqiehfcVFq3ISC3pO9zLE","Heart Strings",0.703,0.496,0.035,0.0837,0.892
"19","0D0hntFnPGhcqlexHeudeV","Opening Up - Finale",0.6,0.47,0.0338,0.273,0.652
"20","0D2xguFRqCF0OUqXCkqrpU","Hard Sometimes",0.407,0.317,0.0429,0.139,0.216
"21","0dNS3jiP5O2EHZVpD8EuxP","Not The Sun",0.413,0.28,0.0338,0.0963,0.131
"22","0Dq49j3dELbttQVUJbtn0c","Nervous",0.841,0.622,0.0756,0.126,0.738
"23","0E4Y1XIbs8GrAT1YqVy6dq","Afterglow",0.641,0.324,0.0299,0.328,0.273
"24","0eaFGIJGHgwKGDcVwHnc7t","Bad Idea",0.538,0.787,0.0543,0.169,0.701
"25","0EAzlhtMYxRb6wbi6KnPjC","The Other",0.38,0.553,0.0653,0.0788,0.384
"26","0ErjxyZ4qHQVs5umCBIClk","Sleigh Ride",0.745,0.487,0.029,0.271,0.87
"27","0EUodO4zn5fiWhADyOxiC9","Epilogue - From ""Frozen""/Score",0.269,0.114,0.0385,0.0861,0.071
"28","0f6lAJRqA5NgBdyZWhSPda","Contraction Ballet",0.512,0.123,0.0944,0.188,0.185
"29","0fN3iJa0qbbpFXU0g2B5ya","The Death of Me",0.472,0.557,0.0443,0.163,0.199
"30","0GM2k74cNQzZU7nscnEX7n","Only Know How to Love You",0.735,0.338,0.0564,0.109,0.267
"31","0gMW8XpPFPjoApDii5Tj1u","Waving Through A Window",0.549,0.705,0.0564,0.12,0.52
"32","0gvyS5QqsQiGZ0e9fDxChn","Recovery",0.265,0.631,0.0578,0.138,0.249
"33","0h77yfaXxrLMLz31uNDigN","What Baking Can Do",0.704,0.553,0.0478,0.0684,0.415
"34","0IIdoxwlGBHhNZQkbYF3yD","Body Gold",0.717,0.49,0.091,0.323,0.169
"35","0iqJTfuwJO3UVIHvzS7cB5","7 Years",0.776,0.251,0.0458,0.104,0.769
"36","0IuVhCflrQPMGRrOyoY5RW","she's all i wanna be",0.614,0.644,0.0426,0.117,0.651
"37","0iVbEBizaS8X9RW1MLzKB8","Break My Heart Again",0.572,0.406,0.032,0.107,0.35
"38","0IVHlst3XMgzXUJbIyZ8oO","Without You",0.639,0.465,0.0696,0.124,0.319
"39","0Iys022UwQ8xBfxE1g4nWZ","One Last Time",0.449,0.42,0.356,0.0805,0.41
"40","0j1BAvgZnO5LoRCsGtgYYG","Heavy",0.749,0.454,0.0587,0.251,0.944
"41","0jiaQJfyTwieg6t30SP9xS","What's Wrong With Me?",0.367,0.241,0.0349,0.125,0.383
"42","0JswmIBSn3XZ15wEEtH5fj","Impossible - Acoustic",0.369,0.42,0.0384,0.121,0.257
"43","0jW4YGXcbUBsMjQa7aHuSf","It Only Takes a Taste",0.752,0.263,0.0609,0.348,0.374
"44","0kAWlfMyn1ah4y5iKUkngI","Finale",0.437,0.357,0.218,0.214,0.286
"45","0kbG8feXW2Pa9SXqf14Eg6","Club Knocked Up",0.723,0.56,0.0448,0.325,0.969
"46","0LbaxqqbUVE1kANizaaL0F","Blown Away",0.522,0.816,0.045,0.0245,0.384
"47","0lnIJmgcUpEpe4AZACjayW","Sorry",0.775,0.598,0.0535,0.253,0.356
"48","0LpHC9mhPAQC98IjXZIrif","The Election of 1800",0.731,0.42,0.462,0.306,0.645
"49","0lZ1eNSYErzmNIK5x4C4Hq","Who Loves You",0.627,0.871,0.0693,0.309,0.656
"50","0mb7btREdC3wuIUmuVRgWn","I'm Still Standing - From ""Sing"" Original Motion Picture Soundtrack",0.579,0.904,0.15,0.0649,0.713
"51","0MeZrItVxB77JoApl5rUrN","Where Do You Belong?",0.456,0.719,0.138,0.153,0.482
"52","0mqcxeYg1b57YjniPNTtQ6","96,000",0.719,0.554,0.353,0.113,0.648
