"","track.id","track.name","danceability","energy","speechiness","liveness","valence"
"1","005lwxGU1tms6HGELIcUv9","I Kissed A Girl",0.699,0.76,0.0677,0.132,0.696
"2","006A6ZD8eo4PDtlesZrghA","3am",0.468,0.754,0.203,0.219,0.703
"3","00B7TZ0Xawar6NZ00JFomN","Best Life (feat. Chance The Rapper)",0.62,0.625,0.553,0.314,0.665
"4","00CqEmnPLFKDhAb3cuu6Cs","Halo",0.575,0.985,0.0743,0.161,0.477
"5","00fhKpPny0gmIZnUXKzHXh","Itsy Bitsy",0.761,0.358,0.0859,0.167,0.51
"6","00JfAkCkN03v0NjX3Pqnsy","Heathens",0.605,0.839,0.0319,0.176,0.298
"7","00MAwuVLrMk9ahTHKgL9Te","CURSED",0.629,0.646,0.0435,0.197,0.0803
"8","00Mb3DuaIH1kjrwOku9CGU","Sk8er Boi",0.487,0.9,0.0482,0.358,0.484
"9","00oHRduz7cW4vFKCuwBF2W","never no",0.554,0.529,0.0555,0.0984,0.337
"10","00RsQGAp58K9CZmKGWABGB","Nails",0.57,0.72,0.0724,0.533,0.411
"11","00UYc0UW5QALClFegSKOpO","Bastardized Ink",0.613,0.726,0.31,0.144,0.332
"12","00WIXhVVhswHuS6dlkScuw","Hot",0.607,0.908,0.107,0.12,0.664
"13","013MHWXVTIny4PrexrhEtO","Paper Mache",0.522,0.598,0.0364,0.0732,0.371
"14","015EEnzb9yU7gfyyeYYYxy","Concrete",0.17,0.947,0.348,0.248,0.216
"15","01uqI4H13Gsd8Lyl1EYd8H","Same Love (feat. Mary Lambert)",0.688,0.473,0.167,0.104,0.299
"16","01XFgRZfZI7oBagNf1Loml","Harlem Shake",0.452,0.794,0.0483,0.416,0.282
"17","01YROQCnF1AQm7SCWJmD2o","This Is Halloween",0.569,0.508,0.0502,0.145,0.647
"18","023OVLNzXhX0j7CxswUt6D","Cheerleader - Felix Jaehn Remix Radio Edit",0.78,0.68,0.0305,0.138,0.594
"19","024JIwBZHRi8uyqEo0wm8K","Creature of Habit",0.7,0.387,0.0809,0.278,0.447
"20","02jeTTV6SyU3sSM3Jb59Bo","Hide",0.282,0.734,0.0442,0.0755,0.239
"21","02JZIF70F9dpOCdenwFwH3","verbal warnings",0.398,0.718,0.0472,0.114,0.293
"22","02M6vucOvmRfMxTXDUwRXu","7/11",0.747,0.705,0.126,0.126,0.56
"23","02OViOYTiINHMe6adI2poO","Shelf Life",0.611,0.674,0.0423,0.191,0.846
"24","02t9x5LkP7fapvyS6FdOoN","Talladega Knights",0.552,0.576,0.0295,0.071,0.509
"25","02uwXnLbfT68JKAShQ0VTS","Mother Africa",0.739,0.69,0.0314,0.134,0.625
"26","02wlx2IXCPgFRPiMWUx9Fm","Curtain Call",0.603,0.55,0.0718,0.108,0.104
"27","02ZorlDGq0uTnMobHNh4EL","Bravado",0.489,0.535,0.0933,0.166,0.04
"28","032FKmPm1J1xXFoCqHl8cS","Italy",0.463,0.653,0.292,0.105,0.208
"29","03f7xZmt2wHCIDJBFPK8G4","Soap",0.595,0.689,0.148,0.129,0.213
"30","03tqyYWC9Um2ZqU0ZN849H","No Hands (feat. Roscoe Dash & Wale)",0.76,0.595,0.0391,0.241,0.361
"31","040WYQYGCvb6MUsGqDoAC7","Satan Is My Motor",0.682,0.698,0.039,0.115,0.975
"32","042ck6MrHpquX75WAIWX4j","Kelly - Fickle Friends Remix",0.54,0.679,0.105,0.118,0.495
"33","042eypGk5f8loNlFPcRzcv","Rocket Man",0.639,0.274,0.028,0.0925,0.0366
"34","04aAxqtGp5pv12UXAg4pkq","Centuries",0.393,0.858,0.0729,0.102,0.56
"35","04eDkgwS0H37aGUF3pUYs5","Creep",0.103,0.314,0.0337,0.169,0.0386
"36","04hDngBsI45bhFalmZkPnF","Patient Zero",0.684,0.654,0.0992,0.729,0.545
"37","04KsMCb9PZE2S0AtUU8Jhb","April Showers",0.801,0.546,0.132,0.141,0.902
"38","04Mr5jeXzPFnEQUPtPzRVP","That Other Girl",0.725,0.127,0.0595,0.118,0.086
"39","057emEF0rUKs0K4Hpcb0iO","Eyes Wide Open",0.551,0.779,0.0292,0.0811,0.234
"40","05eZlxyjbkHMPCnunUasCS","How Long - From""Euphoria"" An HBO Original Series",0.668,0.687,0.058,0.149,0.468
"41","05iBGzcnowSuZnvrjPMBhY","Faint",0.583,0.788,0.042,0.294,0.355
"42","05KfyCEE6otdlT1pp2VIjP","Believer",0.772,0.775,0.112,0.226,0.748
"43","05WRemYpTBZYL06IVRAgDU","Mr. Incredible",0.703,0.674,0.075,0.203,0.79
"44","05ysmI6jXcCYLNPCOu9vnQ","Why Should I Be Sad",0.81,0.597,0.0998,0.0708,0.931
