"","track.id","track.name","danceability","energy","speechiness","liveness","valence"
"1","01T6EQ3LcOyarvAqsdCHI5","Main Title Deconstruction",0.594,0.867,0.0628,0.152,0.0545
"2","01vv2AjxgP4uUyb8waYO5Y","Morph",0.734,0.607,0.0806,0.0968,0.518
"3","02h2lqTc872LnYQ7TOFMmF","Fiery Frolic",0.607,0.679,0.114,0.336,0.715
"4","06bUBaq3PKtjc6DvHN6uiX","Run Away - Radio Edit",0.66,0.931,0.0764,0.181,0.362
"5","08ZuYMwYKdxLrGufv125m0","March To The Sea",0.693,0.496,0.0444,0.0738,0.149
"6","0b9oOr2ZgvyQu88wzixux9","This Is America",0.854,0.463,0.137,0.354,0.549
"7","0dvxG9bYKI4ZUCYwcF3c5N","Ruse of an Ooze",0.708,0.774,0.106,0.296,0.757
"8","0EbIifYAM9wTYlPzKgTwFA","Lift",0.309,0.547,0.0297,0.108,0.157
"9","0FMjqbY3aWo1QDbo3GwXib","Always in My Head",0.495,0.502,0.0259,0.068,0.0394
"10","0HBseo5ADohKTaH6JK3rn1","Murine Corps",0.726,0.63,0.169,0.0392,0.737
"11","0HnNFRIe4PFCQmo7KTtRCj","Reconstructing Science - Remix",0.582,0.843,0.0373,0.0574,0.43
"12","0hWzB4dR1zwcokPvccww0k","When I Grow Up",0.817,0.814,0.185,0.152,0.247
"13","0I9whRSAmL4G66an0k4NpW","Ape Suite #2 - Instrumental",0.211,0.516,0.0498,0.307,0.108
"14","0kT6u7GsKL8DmUUB5GbmTJ","Lancer's Theme - Remix",0.615,0.873,0.0565,0.144,0.739
"15","0nDuH38K39dbgFAiqcPUjW","Whore",0.675,0.645,0.0238,0.444,0.769
"16","0nKZsdHAqChEd0jwynrfoW","Honeycomb Herald",0.58,0.648,0.0665,0.0759,0.483
"17","0PXadTqt6pRNcXOEQgvPAK","Melatonin - Remastered",0.243,0.485,0.0413,0.105,0.0528
"18","0QHoKFOWwMSFxB4zc5HDzG","Polyethylene (Parts 1 & 2) - Remastered",0.22,0.499,0.0355,0.171,0.209
"19","0rKlNsNmGGKGXo6tDgkHEn","It Comes Back To You",0.634,0.749,0.029,0.0698,0.49
"20","0s0lnAIcclHVjQ4fITlOoU","Exit Music (For a Film) - Remastered",0.355,0.296,0.0321,0.644,0.205
"21","0sXvjZV7p4uvyPN4uQo3FH","Neon Gravestones",0.73,0.427,0.138,0.0893,0.392
"22","0v3uNqdn2dHuSCQLFperyZ","Railroad Wrath",0.524,0.75,0.155,0.0625,0.744
"23","0VjnvzjK5wN93gPLwU4tqw","Fitter Happier - Remastered",0.434,0.368,0.231,0.123,0.689
"24","0wqtEooNOFLDHc5QtlrLPz","Build Our Machine (Bendy and the Ink Machine) - Remix",0.522,0.907,0.0377,0.0548,0.711
"25","0YBHCNZipJmhgykFFInajM","Botanic Panic",0.692,0.797,0.127,0.0769,0.792
"26","10UOqXdZJDje9TOdqq5A3A","Angry and Dead Again",0.699,0.538,0.0499,0.106,0.5
"27","11FnhBlSYnz7r0O9HlCIxt","Bury Me Low - FWLR Remix",0.577,0.858,0.113,0.346,0.448
"28","13KwrXEgb4lLzd0kP8Jiqf","Signs of Light",0.27,0.324,0.0346,0.106,0.0396
"29","17FK4etx1u2NK60cptINMS","100 Bad Days",0.626,0.639,0.085,0.161,0.638
"30","19fAPL6nUe7fCVKndwP6me","One Nation (feat. Pretty Lights)",0.577,0.86,0.107,0.234,0.395
"31","19W5OTEcQI3ZoRW1HERMyy","Cancer",0.652,0.295,0.0477,0.0809,0.196
"32","1CDVadnneswMxi6gBqJTtC","Legend",0.716,0.575,0.0368,0.0829,0.797
"33","1DWhiguhYi470Vdvfzvgag","Revolution",0.523,0.948,0.0383,0.34,0.585
"34","1E1uGhNdBe6Dddbgs2KqtZ","Jumpsuit",0.62,0.61,0.0373,0.205,0.235
"35","1FicFgbjWK0HKAHR9DQCCD","Miniaturized Circuitry",0.498,0.814,0.0348,0.11,0.165
"36","1h9wNgbjr5R7nHy0hrmFPO","Beast",0.522,0.776,0.034,0.194,0.318
"37","1JRK7srBWUtAW7dPabKBwJ","Teeth",0.755,0.448,0.0405,0.11,0.431
"38","1kTrkYKKN6Zrypum1BkYiB","System Failiure",0.506,0.728,0.0285,0.13,0.431
"39","1lgN0A2Vki2FTON5PYq42m","Warriors",0.365,0.851,0.065,0.238,0.309
