"","track.id","track.name","danceability","energy","speechiness","liveness","valence"
"1","00knyQIL2CzDzX05nJni8u","Reborn",0.642,0.697,0.17,0.11,0.0542
"2","01YROQCnF1AQm7SCWJmD2o","This Is Halloween",0.569,0.508,0.0502,0.145,0.647
"3","02dHaKH11F7VrEp3aCgOnw","Spice Drops",0.299,0.969,0.111,0.0734,0.653
"4","02hAUjeZHXJSIIJdX4Esmb","Slumber Party",0.533,0.936,0.0447,0.0622,0.421
"5","03uOJUuuTgaFFI1Efal1no","The Son of Flynn - Remixed by Moby",0.621,0.853,0.0311,0.423,0.2
"6","06iUp1XbbaOvAmzrrZeT32","Kidnap The Sandy Claws",0.744,0.524,0.103,0.521,0.771
"7","07Wqp9LcTwzdIyuI0twXjx","Touch Me",0.705,0.539,0.055,0.0575,0.848
"8","08DBDmvEgY2ZTVMVH2A8lt","The Game Has Changed - From ""TRON: Legacy""/Score",0.543,0.509,0.0418,0.112,0.0694
"9","08lh1ifSaWFpXmtg9pYybz","Lay-Z-Boy",0.637,0.0228,0.0516,0.116,0.29
"10","08ZuYMwYKdxLrGufv125m0","March To The Sea",0.693,0.496,0.0444,0.0738,0.149
"11","0aaOrTcwzvbTni3zUarEaT","Serotonia",0.297,0.506,0.033,0.104,0.11
"12","0bBi4uqjdfhAU6AFyKqnGg","Suffer - Remastered 2011",0.342,0.286,0.0399,0.0754,0.244
"13","0cfiDwDthcy5DoR2xIZnkr","Flying Above The Clouds - Original Mix",0.6,0.826,0.0599,0.0525,0.667
"14","0Fe4PvGPm4t6cpNGHrssuH","Lamps",0.235,0.0617,0.0382,0.144,0.033
"15","0ghtKRiQjRVAwK0syn43HA","Adagio For TRON - From ""TRON: Legacy""/Score",0.0963,0.12,0.05,0.129,0.0366
"16","0GmOKTeqDD8OJdl15LBpyD","C.L.U. - From ""TRON: Legacy""/Score",0.353,0.511,0.0341,0.228,0.0499
"17","0IydLdsuAD9AA0RMXP3OFT","Telescope",0.616,0.573,0.0342,0.29,0.459
"18","0Jc2SfIHv63JNsUZpunh54","Solar Sailer - From ""TRON: Legacy""/Score",0.179,0.167,0.0394,0.106,0.0399
"19","0je6JQMhrkDF8aPSHcQ1r2","All The Things She Said",0.556,0.834,0.055,0.111,0.509
"20","0JNv9mydxCag3TEse7MHH5","Omniverse",0.449,0.665,0.0331,0.103,0.415
"21","0JRf1GHWEoeWbkx2kcU6NB","Walking Through the Upside Down",0.389,0.399,0.066,0.117,0.112
"22","0Jv9rxJskFo4jEpRF3BMQL","Essence (VIP)",0.595,0.558,0.0445,0.0917,0.0394
"23","0JZ9TvOLtZJaGqIyC4hYZX","Trouble",0.689,0.799,0.0392,0.297,0.823
"24","0kwuKfWntoGh0EWyYb7Mpf","Stranger Things",0.352,0.551,0.0362,0.167,0.103
"25","0kZEfdlIq3sfQklsGcUZDm","Droopy Likes Your Face",0.59,0.325,0.0348,0.2,0.404
"26","0lTzpW1rYGWDAVzGa8lHGN","Prime Audio Soup",0.585,0.914,0.044,0.324,0.485
"27","0M5HkgtKTIHNPMfh0N5KYP","The Beginning - Original Mix",0.433,0.689,0.0553,0.0917,0.0767
"28","0mHayzmzEB485RkUCETcCL","TRON Legacy (End Titles) - From ""TRON: Legacy""/Score",0.43,0.829,0.043,0.358,0.0406
"29","0MlFZLrCgd14Q0VNKRO8vo","Joke's On You!",0.567,0.8,0.113,0.301,0.376
"30","0nxG0qobx9X7xsMOcEj2PE","Say",0.645,0.756,0.0368,0.14,0.438
"31","0oiGUMBeL8Bn0csxAl4a1W","I Only Said",0.29,0.84,0.0457,0.475,0.229
"32","0ooZRLtbwYjdRy8BM8hQsh","Play (feat. UK:ID)",0.409,0.995,0.237,0.0871,0.15
"33","0OSQSbZXZm1WfTyKdqJuWp","My Brother Taught Me How to Swim",0.545,0.786,0.034,0.0877,0.68
"34","0OXmUaY4ajGoQ7JOAzotQJ","Helplessly Hoping - 2005 Remaster",0.567,0.159,0.0331,0.111,0.436
"35","0POQR8XYRwio5UcF2PJa7j","Super Sumo",0.495,0.964,0.0421,0.0705,0.838
"36","0q4VbtFGvlv8xK0xtXKbIi","Hit Me",0.507,0.909,0.0549,0.406,0.308
"37","0rKlNsNmGGKGXo6tDgkHEn","It Comes Back To You",0.634,0.749,0.029,0.0698,0.49
"38","0RnWcmby0uEKmTsfw4R0ZZ","Until We Can't (Let's Go)",0.572,0.906,0.0502,0.0492,0.371
"39","0SdhdMKUOpq8xuBhPidE35","Ordinary Day - Them Album Version",0.526,0.767,0.0332,0.145,0.442
"40","0sl4vCvb4kyAnTDGqN94pb","Recognizer - From ""TRON: Legacy""/Score",0.577,0.539,0.0404,0.108,0.0578
"41","0tK2WOHDVX2I0KRF9D0K4I","Wake Up",0.42,0.832,0.117,0.175,0.561
"42","0U6QHjAcifZLGrVsFObjEK","L.A. Girlz",0.417,0.799,0.0386,0.0674,0.416
"43","0UbS4oWIo2nUXeTxsvFaN1","California Kids",0.422,0.953,0.123,0.575,0.2
"44","0uG7N4hCYktGJrWIp9cfYz","Merry Christmas, Happy Holidays",0.511,0.746,0.106,0.149,0.588
"45","0vQuIt1pIdUKkQRdHnIOhf","Never",0.293,0.984,0.0939,0.277,0.6
"46","0wEqSX1vrkkKTaBCO4jYAy","I Can Learn",0.275,0.52,0.0308,0.0941,0.0761
"47","0WjvB0SzNvgmuM46UjcMr8","Lifted Up (1985)",0.568,0.816,0.0281,0.155,0.31
"48","0WzpqM6GqbVm6zQ2qeqDEW","Imaginary Friends",0.643,0.419,0.116,0.0496,0.0339
"49","0XkAN5zxmxOZFgbaNZPwF2","Spectral",0.808,0.712,0.106,0.115,0.0999
