"","track.name","track.id","danceability","energy","speechiness","liveness","valence"
"1","The Upside Down","5rwltqXrIniDtZIx4J6u50",0.169,0.0598,0.0339,0.173,0.0318
"2","Ape Suite #1 - Instrumental","5KkyvgCkrbnOcl1kqrKLIN",0.116,0.199,0.044,0.109,0.0361
"3","Climbing Up the Walls - Remastered","2Pquc3xvWghdFuf0HrjLUx",0.266,0.633,0.0386,0.185,0.227
"4","Isle Of Flightless Birds","6cwemXIKrAQeP7TMErGwM3",0.753,0.421,0.0551,0.139,0.134
"5","Lull - Remastered","1WKFFNfL31ApigXTSd7Sea",0.237,0.617,0.0339,0.23,0.156
"6","Teeth","1JRK7srBWUtAW7dPabKBwJ",0.755,0.448,0.0405,0.11,0.431
"7","Truce","6BEKt5axiNeWCr9huv0k7I",0.537,0.0231,0.0475,0.146,0.342
"8","The Run and Go","68NsOuum1AegLDhOIr2ADL",0.798,0.318,0.0431,0.158,0.425
"9","The Killing of a Giant","6zakxAA0Mf1EA2pR8tgFQl",0.659,0.634,0.0464,0.145,0.123
"10","Dream","5pryXvaRTif60GCf1e4rmc",0.379,0.513,0.0492,0.069,0.108
"11","Lancer","2uE9ZTSf2wJINqCHOrV6a0",0.619,0.325,0.0746,0.0952,0.976
"12","Bandito","5INKIG4QNuD4xq7qZcfPzp",0.661,0.52,0.028,0.105,0.427
"13","Let Down - Remastered","7BOXzaH1Rv9JLUgwvAkID5",0.364,0.752,0.0312,0.093,0.122
"14","March To The Sea","08ZuYMwYKdxLrGufv125m0",0.693,0.496,0.0444,0.0738,0.149
"15","Thief","2Q4OrJV7rGtUpPsLGbchgr",0.416,0.715,0.0435,0.106,0.126
"16","Cancer","19W5OTEcQI3ZoRW1HERMyy",0.652,0.295,0.0477,0.0809,0.196
"17","Melatonin - Remastered","0PXadTqt6pRNcXOEQgvPAK",0.243,0.485,0.0413,0.105,0.0528
"18","Evil Morty (For the Damaged Coda)","1RRS9H7wTZ0Sgl2FwpKHdP",0.462,0.717,0.0272,0.114,0.0779
"19","Bullets","5zxJ3BZyd6BK2gX4b2RnB4",0.455,0.649,0.0519,0.155,0.0719
"20","A-Bit of Beethoven","5l4alulf90ZuqQrNA57s3h",0.313,0.763,0.0611,0.136,0.323
"21","Polyethylene (Parts 1 & 2) - Remastered","0QHoKFOWwMSFxB4zc5HDzG",0.22,0.499,0.0355,0.171,0.209
"22","Hypnocurrency","3evAUkYDPeLX5kn0LbvGz4",0.528,0.732,0.0504,0.109,0.0324
"23","Perilous Piers","1RVsX3VWLxQEbzMGk2ZNyE",0.706,0.526,0.037,0.175,0.804
"24","Release","3ubpkIvw8SDchaRPEKIQPS",0.379,0.396,0.0292,0.118,0.407
"25","Second Chances","6FQcdl2PzmsoXRF3F1flZ5",0.401,0.567,0.0355,0.103,0.362
"26","The Tourist - Remastered","5R8pnOmAwKNh4KnvJW2paN",0.248,0.328,0.032,0.105,0.0398
"27","Karma Police - Remastered","24yaR0CyO2oRISmeL2AvVj",0.389,0.577,0.0276,0.107,0.367
"28","Legend","1CDVadnneswMxi6gBqJTtC",0.716,0.575,0.0368,0.0829,0.797
"29","Salt And The Sea","5EKqsMU2tn1iAYNQF8h0ll",0.63,0.31,0.028,0.128,0.0712
"30","Ape Suite #2 - Instrumental","0I9whRSAmL4G66an0k4NpW",0.211,0.516,0.0498,0.307,0.108
