"","track.name","track.id","danceability","energy","speechiness","liveness","valence"
"1","Implicit Demand For Proof","3UaFnnUo80mv431WHEzaj9",0.495,0.262,0.0292,0.104,0.287
"2","Exit Music (For a Film) - Remastered","0s0lnAIcclHVjQ4fITlOoU",0.355,0.296,0.0321,0.644,0.205
"3","Confrontation","5oLWroGhJvHACXQ5nEx692",0.288,0.586,0.109,0.0966,0.0878
"4","Leave the City","5HCXMBxZIVaVLXpyoqPM3g",0.506,0.379,0.0334,0.0956,0.299
"5","Before You Start Your Day","4izhmF4sQgGemZpLC68bC5",0.363,0.135,0.0295,0.107,0.195
"6","Silicon Valley","6ndnOniozGPZBQ2N5Tjftd",0.465,0.376,0.03,0.099,0.14
"7","Oh Ms Believer","3FvV3j98xtcylQF1drDc9j",0.501,0.328,0.0255,0.15,0.263
"8","Air Catcher","70oK6ePjILgOuBUzRDOfCR",0.519,0.436,0.0285,0.107,0.133
"9","How I Made My Millions - Remastered","6gXv8OCSgKr5ZoVYi7Q7GM",0.251,0.243,0.0307,0.126,0.247
"10","Man of War","552BIJ9kKwwqiGf4YojYbL",0.274,0.472,0.0263,0.0802,0.14
"11","Subterranean Homesick Alien - Remastered","2kDEGoEVHfpNPMOs7IIG5y",0.326,0.636,0.0286,0.108,0.256
"12","Friend, Please","6gDTyTnFxpvQtkgGuNWGbE",0.228,0.517,0.0401,0.29,0.204
"13","Lift","0EbIifYAM9wTYlPzKgTwFA",0.309,0.547,0.0297,0.108,0.157
"14","Doom Theme - Remix","7HmZPTWMa8oeY1kcw5icod",0.356,0.982,0.0419,0.138,0.236
"15","Goner","5P3yUXUC9rZPJPNmYGKEAz",0.565,0.437,0.0403,0.0656,0.217
"16","No Surprises - Remastered","5O3FBCAj4Y3rvPXrEmlinc",0.274,0.449,0.0279,0.114,0.0797
"17","Always in My Head","0FMjqbY3aWo1QDbo3GwXib",0.495,0.502,0.0259,0.068,0.0394
"18","Beethoven Symphony 5 (8 Bit Version)","5WzhZoBDmaAGzlG9PKrZi3",0.307,0.491,0.0351,0.152,0.132
"19","Lucky - Remastered","7DqQtB1w0fHeSwjwq3IYU1",0.233,0.453,0.0331,0.113,0.152
"20","Signs of Light","13KwrXEgb4lLzd0kP8Jiqf",0.27,0.324,0.0346,0.106,0.0396
"21","A Reminder - Remastered","2WHsVjndiTbqMTWy1gfOnV",0.306,0.5,0.0276,0.227,0.139
"22","Salt And The Sea","5EKqsMU2tn1iAYNQF8h0ll",0.63,0.31,0.028,0.128,0.0712
"23","The Tourist - Remastered","5R8pnOmAwKNh4KnvJW2paN",0.248,0.328,0.032,0.105,0.0398
"24","Taxi Cab","4j8gmCSLLy0TSFg2brV01g",0.567,0.572,0.0318,0.103,0.205
"25","Polyethylene (Parts 1 & 2) - Remastered","0QHoKFOWwMSFxB4zc5HDzG",0.22,0.499,0.0355,0.171,0.209
"26","Release","3ubpkIvw8SDchaRPEKIQPS",0.379,0.396,0.0292,0.118,0.407
"27","Melatonin - Remastered","0PXadTqt6pRNcXOEQgvPAK",0.243,0.485,0.0413,0.105,0.0528
"28","Cancer","19W5OTEcQI3ZoRW1HERMyy",0.652,0.295,0.0477,0.0809,0.196
"29","I Promise","6V9PDDZ2pHQCUleRXvRYQ1",0.441,0.435,0.0261,0.0982,0.487
"30","Battle Cry","3KgIZWuC7JJOgkcGeAWbZg",0.358,0.909,0.0949,0.138,0.0419
