"","track.name","track.id","danceability","energy","speechiness","liveness","valence"
"1","Again - Version - Band Of Skulls Remix","4OnDo8bRa78Qe54oDjbd44",0.542,0.226,0.0404,0.0638,0.0372
"2","Dope","1gPCk3KUE83rPdz9QqGsX9",0.339,0.429,0.0348,0.082,0.16
"3","Carmen","2wiXEarKt55K8aW8elRqDW",0.524,0.427,0.0297,0.129,0.0379
"4","Everytime","0dRhSF9LV0HR8Jwd3MMMKJ",0.398,0.284,0.0337,0.116,0.114
"5","Half Built Houses","1c7fn26suEuxzQzBHtJUlB",0.394,0.134,0.0405,0.14,0.151
"6","I'm In Here - Piano/Vocal Version","1iTb1k4DgjJh7qWFQE1VmB",0.368,0.23,0.0361,0.111,0.186
"7","Moral of the Story","2nC3QhMI9reBIOWutbU3Tj",0.572,0.406,0.0427,0.102,0.265
"8","Words On Signs","55SdNFWxepk3hXzlJfUBlG",0.395,0.13,0.0364,0.0808,0.115
"9","Can I Exist","1PfstIZqhC77Xpctr80Urv",0.428,0.487,0.0331,0.111,0.137
"10","Elastic Heart - Piano Version","0udoMICxzaUbNUT8EVRq8B",0.44,0.306,0.0377,0.0888,0.25
"11","Funeral","4gCQC1XVOKLfabeSMbuTxk",0.306,0.443,0.0299,0.14,0.0513
"12","Creep","7BRwh1bemr9rFMDeTbcy5S",0.585,0.103,0.0309,0.126,0.179
"13","Arcadia","3EZTyh1wJEmreJH1aULPCj",0.323,0.106,0.0323,0.108,0.158
"14","Go Your Own Way","1zW0HHilHOxeN6Efge2mnm",0.554,0.311,0.0386,0.116,0.114
"15","Hurts Like Hell","2kMAKtrAu16HVWxBnOwuhd",0.433,0.152,0.0369,0.107,0.0974
"16","I Am the Antichrist to You","3tnfHy341CDlAtcSmUtuOG",0.329,0.265,0.0429,0.101,0.304
"17","i don't think i love you anymore","1saZ5nnaCWBjOK09izEK9c",0.557,0.358,0.0329,0.163,0.201
"18","I Made This Song About Killing Myself","6wARyD1Kju1ikMvX0vYoCY",0.57,0.405,0.0293,0.107,0.184
"19","No Ones Gonna Love You","6NBqiBWNlfzOpvBMArCLEh",0.424,0.39,0.0272,0.0961,0.282
"20","No Time To Die","73SpzrcaHk0RQPFP73vqVR",0.38,0.219,0.0358,0.0827,0.0517
