"","track.name","track.id","danceability","energy","speechiness","liveness","valence"
"1","Alone","5PtJhgBEuxWpBn0OTCKa4i",0.827,0.599,0.0672,0.116,0.695
"2","Beast","6xVUTaatzohxhC7L2tDOCj",0.522,0.776,0.034,0.194,0.319
"3","Begging To Bleed","0V6frMxd651nA8suT4tfku",0.55,0.76,0.0337,0.157,0.368
"4","BLOOD","2odJRoZ0Bx3aHvNa8hpNrD",0.497,0.825,0.0821,0.0905,0.235
"5","Bloody Mary","11BKm0j4eYoCPPpCONAVwA",0.591,0.637,0.03,0.113,0.432
"6","Burning Alive","5FN1qN680GO9MJ7rs5wyb7",0.595,0.673,0.0295,0.292,0.315
"7","BURN IT DOWN","7oVEtyuv9NBmnytsCIsY5I",0.585,0.972,0.0534,0.0707,0.585
"8","Coma","0V4aQltTsLP0hDbMi3ZnHz",0.577,0.652,0.0517,0.0863,0.268
"9","Concrete","015EEnzb9yU7gfyyeYYYxy",0.17,0.947,0.348,0.248,0.216
"10","creep","6RMfNnQY8OWUYfQt0jWTwY",0.407,0.717,0.0993,0.121,0.115
"11","Creepin' N Lurkin'","4Xs3odCTFE1TNu0ETX4Gr5",0.576,0.785,0.0436,0.0906,0.263
"12","Crim35","5JGud0Otjg5XWMvNAIgv6d",0.547,0.643,0.0323,0.0681,0.0399
"13","Crystaleyes","0f9zSHJuc2s6tYoB5LZgpi",0.457,0.75,0.0469,0.357,0.372
"14","Dopamine","5VSWYbbumyMm1LFW5Dt9gg",0.58,0.758,0.0518,0.209,0.464
"15","Don't Ask Me Out","5pEgvdepEWyd0ZiNXHDUt4",0.607,0.675,0.0669,0.183,0.373
"16","Do You Feel Safe?","6DkFFClijfKlIRrX4Pspxi",0.555,0.602,0.106,0.334,0.171
"17","EVIL","3IM38afBFCZ0jb4kE1rvJm",0.634,0.645,0.239,0.28,0.384
"18","Mosh Pit","484hXhCFTo8R1W2TxFJyTR",0.706,0.695,0.0371,0.103,0.343
"19","Fill the Crown","3F2aFZiQ2YjIg3e50pqC6c",0.584,0.852,0.0572,0.118,0.389
"20","I Think I'm Tired","2H1yryyX0T1GHtN6JzaoLK",0.83,0.409,0.421,0.0744,0.68
"21","Dizzy","5MxLy1RM6bGy1TK1eba4Ts",0.555,0.475,0.0323,0.0853,0.432
