"","track.name","danceability","energy","speechiness","liveness","valence"
"1","$CARY",0.846,0.177,0.0961,0.0834,0.755
"2","911",0.698,0.611,0.0686,0.0587,0.507
"3","abaddon",0.689,0.767,0.0429,0.162,0.0994
"4","All Alone",0.669,0.866,0.293,0.185,0.824
"5","all the good girls go to hell",0.726,0.444,0.372,0.177,0.569
"6","All The Things She Said",0.556,0.834,0.055,0.111,0.509
"7","alone",0.31,0.662,0.141,0.0636,0.251
"8","Alone",0.829,0.609,0.059,0.11,0.696
"9","Appetite",0.857,0.422,0.142,0.071,0.319
"10","Babushka Kikimora Baba Cloanta",0.802,0.914,0.543,0.332,0.38
"11","Baby I'm Dead Inside",0.56,0.856,0.0597,0.165,0.907
"12","BAD KID",0.886,0.316,0.0677,0.108,0.0389
"13","Beast",0.522,0.776,0.034,0.194,0.318
"14","Beautiful & Bad",0.451,0.194,0.0284,0.116,0.0346
"15","Begging To Bleed",0.55,0.76,0.0337,0.157,0.368
"16","Bested",0.739,0.7,0.0659,0.0861,0.84
"17","Better Off Dead",0.439,0.775,0.0372,0.0888,0.556
"18","Black Frog",0.656,0.787,0.0352,0.17,0.25
"19","Blonde",0.466,0.489,0.0672,0.106,0.142
"20","Blood",0.623,0.527,0.0319,0.182,0.281
"21","Bloody Mary",0.62,0.674,0.0942,0.165,0.388
"22","Blow",0.548,0.828,0.228,0.291,0.497
"23","Boy Red",0.694,0.668,0.0381,0.217,0.138
"24","BRN",0.587,0.718,0.0459,0.147,0.678
"25","Burning Alive",0.595,0.673,0.0295,0.292,0.315
"26","Burn It Down",0.453,0.703,0.0349,0.436,0.205
"27","Cannibal",0.71,0.68,0.106,0.0493,0.571
"28","Cannonball",0.619,0.731,0.142,0.213,0.464
"29","Carousel",0.739,0.661,0.0764,0.0848,0.333
"30","Cellophane",0.42,0.42,0.0873,0.112,0.339
"31","Cha Cha",0.708,0.696,0.172,0.128,0.743
"32","Chain$Aw",0.717,0.925,0.311,0.287,0.412
"33","Coma",0.577,0.652,0.0517,0.0863,0.268
"34","Concrete",0.17,0.947,0.348,0.248,0.216
"35","Control",0.549,0.675,0.0332,0.181,0.206
"36","COPYCAT",0.679,0.388,0.0932,0.341,0.234
"37","Cradles",0.534,0.589,0.325,0.176,0.632
"38","creep",0.407,0.717,0.0993,0.121,0.115
"39","Creepin n Lurkin",0.546,0.787,0.0456,0.0905,0.266
"40","Crim35",0.547,0.643,0.0323,0.0681,0.0399
"41","Crystaleyes",0.457,0.75,0.0469,0.357,0.372
"42","Cursed",0.779,0.454,0.117,0.129,0.452
"43","Daytime Dies",0.66,0.313,0.0369,0.0814,0.0499
"44","Dead Girl! (Shake My Head)",0.704,0.871,0.0485,0.212,0.771
"45","Death Becomes Her",0.628,0.679,0.0805,0.163,0.64
"46","Decisions of Torment",0.906,0.61,0.0792,0.0851,0.422
"47","The Devil",0.711,0.609,0.142,0.257,0.55
"48","Devil in Paradise",0.38,0.603,0.203,0.294,0.447
"49","Devil's Hold",0.536,0.424,0.364,0.153,0.148
"50","Devil's Work",0.667,0.87,0.235,0.0778,0.581
"51","Dig Your Grave.",0.549,0.7,0.109,0.271,0.331
"52","Don't Ask Me Out",0.607,0.675,0.0669,0.183,0.373
"53","Doubt",0.719,0.645,0.0358,0.362,0.69
"54","Do You Feel Safe?",0.555,0.602,0.106,0.334,0.171
"55","Dreams Where Ur Murdered",0.743,0.57,0.0398,0.312,0.445
"56","Drop It Like It's Hot!",0.746,0.884,0.0677,0.113,0.651
"57","Dust In Your Pocket",0.776,0.375,0.0794,0.126,0.111
"58","CANNIBAL (feat. Hey Violet)",0.714,0.761,0.0584,0.288,0.417
"59","Alien",0.681,0.676,0.0391,0.112,0.651
"60","eat your heart out",0.762,0.647,0.028,0.115,0.22
"61","Everybody's Scared",0.773,0.557,0.111,0.15,0.398
"62","EVIL",0.634,0.645,0.239,0.28,0.384
"63","Evil Like Me",0.375,0.627,0.0989,0.0688,0.282
"64","Ew",0.772,0.317,0.102,0.112,0.297
"65","Fean",0.804,0.535,0.0376,0.113,0.225
"66","Fear Being Unfelt",0.672,0.586,0.211,0.0744,0.283
"67","FIGHT OR FLIGHT",0.884,0.797,0.23,0.0978,0.0366
"68","Fill the Crown",0.584,0.852,0.0572,0.118,0.389
"69","Find Me In The Moonlight",0.589,0.638,0.129,0.517,0.752
"70","Freak of the Fall",0.781,0.69,0.294,0.124,0.617
"71","Freakout",0.78,0.448,0.332,0.214,0.819
