"","track.name","danceability","energy","speechiness","liveness","valence"
"1","100 Bad Days",0.625,0.642,0.0867,0.147,0.607
"2","3 Nights",0.815,0.518,0.0897,0.104,0.877
"3","Alien Boy",0.802,0.599,0.0997,0.236,0.484
"4","Alive",0.508,0.762,0.0489,0.108,0.444
"5","All That",0.734,0.571,0.252,0.443,0.36
"6","All Time Low",0.617,0.567,0.0828,0.0933,0.505
"7","AllttA",0.616,0.665,0.223,0.393,0.688
"8","Alone",0.817,0.58,0.0669,0.123,0.324
"9","anxiety (with FRND)",0.652,0.715,0.0388,0.156,0.618
"10","Ashes",0.712,0.568,0.0546,0.169,0.46
"11","ASOS",0.602,0.503,0.0798,0.277,0.853
"12","Back Pocket",0.839,0.585,0.153,0.0435,0.89
"13","Believe",0.683,0.841,0.142,0.174,0.664
"14","Best Life (feat. Chance The Rapper)",0.62,0.625,0.553,0.314,0.665
"15","Best of Me",0.657,0.842,0.068,0.223,0.594
"16","Better By Myself",0.695,0.715,0.0528,0.0992,0.891
"17","Bird Set Free",0.438,0.805,0.0728,0.133,0.31
"18","Birthday",0.719,0.674,0.0681,0.112,0.843
"19","Bitter",0.572,0.54,0.0674,0.113,0.326
"20","black on black",0.665,0.661,0.0829,0.163,0.793
"21","Blank (feat. Kennedi)",0.843,0.68,0.127,0.22,0.601
"22","Bloody Hell",0.513,0.488,0.0433,0.407,0.396
"23","Born Without a Heart",0.699,0.613,0.0328,0.175,0.54
"24","Bravado (fg. VII)",0.572,0.677,0.3,0.293,0.357
"25","By Your Side",0.531,0.744,0.0677,0.109,0.378
"26","California Palms",0.591,0.792,0.0468,0.355,0.794
"27","Can't Be Tamed",0.63,0.91,0.144,0.196,0.743
"28","Courage to Change",0.307,0.606,0.0347,0.357,0.11
"29","CRASH DIVE",0.527,0.71,0.0848,0.0709,0.529
"30","Crazy Beautiful Life",0.804,0.57,0.0343,0.14,0.803
"31","Crooked Smile (feat. TLC)",0.607,0.784,0.268,0.689,0.482
"32","CURSED",0.629,0.646,0.0435,0.197,0.0803
"33","Dangerous Woman",0.664,0.602,0.0412,0.356,0.289
"34","Day Dreaming",0.709,0.807,0.0365,0.189,0.83
"35","Dead Horse - Glass Animals Remix",0.66,0.532,0.0733,0.202,0.365
"36","DGAF",0.581,0.608,0.0537,0.293,0.656
"37","Disparate Youth",0.642,0.931,0.0417,0.215,0.548
"38","Drugs",0.6,0.689,0.098,0.148,0.45
"39","Easy",0.513,0.623,0.0645,0.101,0.12
"40","Ego",0.732,0.619,0.138,0.0819,0.342
"41","Electric - Pokemon 25 Version",0.615,0.701,0.0472,0.0471,0.251
"42","Enigma",0.669,0.804,0.036,0.694,0.184
"43","Enough's Enough",0.536,0.604,0.0758,0.105,0.309
"44","Even Angels",0.611,0.584,0.0609,0.112,0.32
"45","Faith",0.437,0.718,0.0538,0.164,0.442
"46","Fatal Flaw",0.576,0.897,0.0752,0.136,0.575
"47","Feel Real Pretty",0.69,0.834,0.0672,0.066,0.313
"48","Feisty (Remix)",0.754,0.812,0.0364,0.27,0.645
"49","The Fight",0.675,0.852,0.0463,0.612,0.804
"50","Fire In The Sky",0.668,0.856,0.0453,0.096,0.737
"51","Focus",0.671,0.876,0.239,0.444,0.8
"52","Fomo",0.592,0.334,0.143,0.168,0.511
"53","Freaks",0.357,0.543,0.254,0.114,0.242
"54","Fuck Your Money",0.672,0.557,0.206,0.108,0.522
"55","Future Starts Now",0.693,0.853,0.0503,0.123,0.432
"56","Games",0.682,0.736,0.0458,0.14,0.812
"57","Girl on Fire",0.656,0.516,0.0468,0.139,0.321
"58","Good as Hell (feat. Ariana Grande) - Remix",0.668,0.892,0.0645,0.735,0.478
"59","Good Day for Dreaming",0.43,0.716,0.0404,0.0631,0.223
"60","Good Life - Remix",0.855,0.551,0.0832,0.105,0.491
"61","Good Morning, Goodbye",0.799,0.544,0.104,0.106,0.67
"62","Graduation (with Juice WRLD)",0.731,0.65,0.271,0.124,0.605
"63","GRoCERIES",0.906,0.596,0.243,0.109,0.701
"64","Growing Up",0.397,0.711,0.0698,0.109,0.193
"65","Happy Pills",0.521,0.885,0.125,0.324,0.344
"66","Hazy",0.721,0.637,0.0286,0.0719,0.551
"67","Hellogoodbye",0.536,0.421,0.0465,0.096,0.664
"68","Hey Boy (feat. Burna Boy)",0.607,0.599,0.238,0.617,0.794
"69","High Hopes",0.579,0.904,0.0618,0.064,0.681
"70","Hot",0.607,0.908,0.107,0.12,0.664
"71","Hotline Bling",0.891,0.628,0.0551,0.0504,0.552
"72","I Can't Help but Look",0.704,0.72,0.0471,0.158,0.723
"73","I Did Something Bad",0.696,0.602,0.159,0.0696,0.305
"74","I Got One (fg. VIII)",0.762,0.502,0.0671,0.106,0.235
"75","ili",0.634,0.588,0.106,0.441,0.77
"76","iLoveittho",0.546,0.476,0.345,0.123,0.601
"77","imagine if",0.907,0.452,0.187,0.244,0.691
"78","I’m So",0.483,0.868,0.0742,0.658,0.468
"79","Indigo",0.819,0.664,0.0828,0.263,0.71
"80","In The Dark (with Jhené Aiko)",0.686,0.654,0.0936,0.108,0.663
"81","I Told You So",0.748,0.812,0.255,0.87,0.856
"82","it's not u it's me",0.776,0.568,0.125,0.078,0.749
"83","I Was Gonna Cancel",0.74,0.773,0.062,0.161,0.861
"84","Lie Love Live Love",0.638,0.663,0.0513,0.366,0.54
"85","Lies",0.588,0.723,0.196,0.624,0.55
"86","Life Is Good (feat. Drake)",0.676,0.609,0.481,0.152,0.508
"87","Limited Edition",0.354,0.882,0.432,0.126,0.783
"88","The Loophole",0.569,0.367,0.0878,0.337,0.823
"89","Lose Control",0.56,0.75,0.0816,0.204,0.279
"90","The Louvre",0.664,0.382,0.047,0.0943,0.126
"91","Luck",0.679,0.54,0.025,0.167,0.333
"92","Marked",0.683,0.486,0.0586,0.239,0.518
"93","Meet Me",0.46,0.697,0.414,0.306,0.315
"94","Mother's Daughter",0.681,0.865,0.0594,0.149,0.528
"95","MOVIN' ON (feat. Anderson .Paak)",0.678,0.619,0.0993,0.337,0.925
"96","Muggsy Bogues (fg. V)",0.719,0.701,0.233,0.201,0.637
"97","DA-DA-DA-DA",0.737,0.912,0.177,0.0444,0.882
"98","My Shit",0.812,0.621,0.0515,0.099,0.847
"99","Never More【P4】",0.769,0.78,0.0271,0.242,0.779
"100","Nice to Meet Ya (feat. Nicki Minaj)",0.754,0.561,0.333,0.126,0.539
"101","No Sad No Bad",0.755,0.569,0.05,0.103,0.435
"102","No Scrubs",0.743,0.675,0.0953,0.0685,0.59
"103","Nothing Wrong With Me",0.374,0.737,0.15,0.354,0.507
"104","Ongoing Thing",0.471,0.699,0.245,0.0708,0.329
"105","On Top",0.528,0.757,0.212,0.145,0.304
"106","Oxygen",0.797,0.712,0.119,0.091,0.429
"107","Pale Blue Dot (20syl Remix)",0.52,0.807,0.134,0.342,0.493
