"","track.name","track.id","danceability","energy","speechiness","liveness","valence"
"1","anxiety (with FRND)","7AhlMDKQelsNkWvFeZvmtC",0.652,0.715,0.0388,0.156,0.617
"2","Believe","0wriLDYso8kVk8eqMMHg5I",0.683,0.841,0.142,0.174,0.664
"3","Best of Me","7zv0i1f8kTy8hPapkm28kz",0.657,0.842,0.068,0.223,0.594
"4","Better By Myself","77ixMBo91onYG37mAZiaUj",0.695,0.715,0.0528,0.0992,0.891
"5","Day Dreaming","5NbyidjQ7pvTWdEVOUFcT3",0.709,0.807,0.0365,0.189,0.83
"6","Feel Real Pretty","58L9BLQuOAwAzHhCvTpp3l",0.69,0.834,0.0672,0.066,0.313
"7","Feisty (Remix)","22O7kvipnVky816DeCGNPd",0.754,0.812,0.0364,0.27,0.645
"8","The Fight","1Vxs6RcPBrbQfZMElzIzto",0.675,0.852,0.0463,0.612,0.804
"9","Fire In The Sky","3zpGIFghtnVlwMXWyKW474",0.668,0.856,0.0453,0.096,0.737
"10","Focus","1cdzfFjEbUbgTm5nv3FgXR",0.671,0.876,0.239,0.444,0.8
"11","Future Starts Now","3p2wS6G159mBIU50xl7uvc",0.693,0.853,0.0503,0.123,0.432
"12","Games","0M5magat8i2u407cnflNkV",0.716,0.612,0.044,0.189,0.791
"13","Good as Hell (feat. Ariana Grande) - Remix","07Oz5StQ7GRoygNLaXs2pd",0.668,0.892,0.0645,0.735,0.478
"14","I Can't Help but Look","62ub4AowRmQebdtFdEWWr3",0.704,0.72,0.0471,0.158,0.723
"15","I Told You So","103k5yrMtE4ox69BYF8DBX",0.748,0.812,0.255,0.87,0.856
"16","I Was Gonna Cancel","4WiQmOTCwKGeq4IUKxQOZg",0.74,0.773,0.062,0.161,0.861
"17","Mother's Daughter","2WyRfGeHo97VC5mP1BBSzr",0.681,0.865,0.0594,0.149,0.528
"18","Muggsy Bogues (fg. V)","6x20k0v9FMfqaCzUWlvDW4",0.719,0.701,0.233,0.201,0.637
"19","DA-DA-DA-DA","6ONSkDgQkac3NelMWgEeiQ",0.737,0.912,0.177,0.0444,0.882
"20","Never More","7wsNi1SE40YS9YYCj44EQ4",0.769,0.78,0.0271,0.242,0.779
