"","track.name","track.id","danceability","energy","speechiness","liveness","valence"
"1","Solar Sailer","770xg19bhZii0ARFBn1qR5",0.177,0.172,0.0382,0.103,0.0385
"2","Black Desert","1L9h86xb6RdOFd0ySTpkpo",0.268,0.201,0.0437,0.107,0.0647
"3","Voyager #2","08ELAHAbjyKUfwMF7acdAN",0.191,0.186,0.0511,0.106,0.05
"4","Afraid of Time","1SAop5lZ4KVCAJOMkP7bN3",0.245,0.00336,0.0451,0.119,0.0505
"5","Inception: Time - Orchestra Version - Live","5TXY9UWJMiMopFTpW0uUBb",0.259,0.118,0.0403,0.701,0.0367
"6","Morning Haze","3ZubngM6h5lOW0JE3yOmb1",0.651,0.556,0.0368,0.119,0.16
"7","Mind’s Eye","04JXK1GuqYWZHaRPpdIiv9",0.413,0.148,0.0339,0.0961,0.0574
"8","3 AM","0C8rPEfM8lZA05al27k0Pq",0.149,0.186,0.0337,0.125,0.0803
"9","The Killing of a Giant","6zakxAA0Mf1EA2pR8tgFQl",0.659,0.634,0.0464,0.145,0.123
"10","Etheral Ease","5jKGlvcYrkQjoqwvAtMZ70",0.143,0.0316,0.0403,0.108,0.0857
"11","Floating Away","1QBMc979Via10RvuzUTcPm",0.542,0.141,0.0749,0.191,0.102
"12","The End","3vdfcMsUhszTASA8YPk4j7",0.564,0.318,0.0309,0.131,0.187
"13","Flowerdance","7vj8WnBdih005tjGUOd6tp",0.641,0.111,0.0386,0.0968,0.0647
"14","Quiet Storm","1QIsVlaCz3U5GfsEJE9O8L",0.613,0.526,0.031,0.168,0.108
"15","Night Drive","5ZjkNspQw1OWzKo6p4XJz5",0.669,0.536,0.0381,0.0885,0.824
"16","Lofi Rain","0bUYgpgrUaoFouvS0vf6qe",0.532,0.208,0.0409,0.102,0.366
"17","should have never met you","6bpvPioiETNag9ru7CrdzG",0.789,0.192,0.0798,0.147,0.437
"18","Found Footage","6PNP5wFnQQl2nlMfBMaxCt",0.457,0.612,0.226,0.366,0.0357
"19","Forever in My Mind","1H3TckEBugMcQsur6Q0gTN",0.509,0.534,0.0619,0.559,0.12
"20","Sunken","2UruBApskz6SU0vJQPTnM4",0.131,0.0751,0.0348,0.136,0.0336
